logA n_s H0 omega_b omega_cdm m_ncdm w0_fld Omega_EDE tau_reio
2.869741842884999006e+00 9.193588289599308183e-01 7.398157049340248648e+01 2.226986441619937737e-02 1.246978714907926999e-01 6.653061225922127231e-02 -8.401718647556584152e-01 5.195061436298285124e-02 3.271149777282656573e-02
2.893037821302496759e+00 9.631950947137742913e-01 7.452268113084682000e+01 2.210491802988244492e-02 1.194243709118394114e-01 1.822669975976668952e-02 -8.327074529749998177e-01 8.981590123101171330e-02 1.753309585294701711e-02
2.815452717999459509e+00 9.397447569594571393e-01 6.996357843955968292e+01 2.206331847532176996e-02 1.169237975861765338e-01 3.605448410077418536e-02 -7.509766240248059166e-01 8.604023513830156081e-03 1.594567228377322121e-02
3.040989126888403060e+00 9.206550553432469863e-01 7.671104344682754572e+01 2.240359766211750051e-02 1.277877911245421383e-01 3.143766219529793571e-02 -9.148222390660047942e-01 9.084457906841401920e-02 5.562022612610553057e-02
3.176100300791878439e+00 9.767120351936735556e-01 7.494542205647228172e+01 2.255732173375713662e-02 1.270750606238355840e-01 9.785064928155993991e-02 -8.827398698937141130e-01 4.929648339740691498e-02 3.196506699372074489e-02
3.013727172243797270e+00 9.658853386191120771e-01 7.412651677323179911e+01 2.206847881775562611e-02 1.244613573005164675e-01 9.260658586264268466e-02 -8.499013671843820283e-01 6.679693813131121205e-02 7.333004741976138774e-02
3.064923297767427890e+00 9.167153135524684915e-01 7.273095342800112917e+01 2.243359732815652929e-02 1.194370266758227050e-01 6.310210940293051185e-02 -8.205563006040605956e-01 4.005121088498070359e-02 3.801427577083308501e-02
3.120341149603244268e+00 9.204917863461209437e-01 7.078577050725336051e+01 2.253966152643648024e-02 1.137846259934520154e-01 2.530497315104494188e-02 -7.569756827633735696e-01 2.289556864172019590e-02 7.592851480106622974e-02
2.812252352097271757e+00 9.627235194690535458e-01 7.513418511105787445e+01 2.201863914805417960e-02 1.268994769208711682e-01 7.181248416704613668e-02 -9.002271636408096800e-01 5.398529442775330811e-02 1.115719871445458936e-02
3.056291318655056433e+00 9.640208406764327886e-01 7.294040504594178742e+01 2.242317157458700860e-02 1.170259425264759401e-01 6.136511206661426215e-02 -8.488482894275031221e-01 2.410772560433972755e-02 3.904907303090793258e-02
3.155248030317769015e+00 9.455942297600719026e-01 7.418910705008657658e+01 2.228915603240356341e-02 1.229792555156378198e-01 8.461677583502509592e-02 -8.337574948254267149e-01 7.774066967530079975e-02 7.120544882255618047e-02
3.113522913474490839e+00 9.970138334793724466e-01 7.516291042995500504e+01 2.219097036987428828e-02 1.269004053222106410e-01 8.075838109276241294e-02 -8.329373797471459895e-01 8.494377444600464955e-02 4.827840576271899553e-02
2.854603143345108229e+00 9.239257046580208188e-01 7.199258972834969939e+01 2.238587595587932660e-02 1.164074069326655608e-01 1.644871780442102790e-02 -7.981992095530576758e-01 1.323672449251203642e-02 7.222644812574874340e-02
3.018217364179801354e+00 9.084973073753520589e-01 7.150041474461743007e+01 2.212695511430123538e-02 1.163588838807283060e-01 3.638278033056125110e-03 -7.818332709565294358e-01 4.558283458186238729e-02 6.640220527609892731e-02
2.965704690116428566e+00 9.849471061218812995e-01 7.058119855762086559e+01 2.234119168021569610e-02 1.202846190215316469e-01 7.920450348799759621e-02 -7.589741849859392708e-01 1.535455076179163651e-02 3.441471853959476163e-02
2.892763601473926638e+00 9.867824964888300965e-01 7.609516114836007716e+01 2.218786694645099797e-02 1.269177521725344815e-01 7.327382580770348819e-02 -8.833849640540945014e-01 8.855701841654352313e-02 5.159913873281922470e-02
