# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_fld            13:(.)w_fld              14:(.)rho_ur             15:(.)rho_crit           16:(.)rho_tot            17:(.)p_tot              18:(.)p_tot_prime        19:gr.fac. D             20:gr.fac. f          
       2.147870523717e+06       1.587859205697e-10       2.091615124718e-01       1.027303021397e+07       1.405970106246e+04       6.545876188224e-03       3.019843154404e+10       1.207499169863e-01       5.856151085300e+13       2.467731523269e+10       1.324200117640e+11       6.332109756686e+12       3.328054687069e-01       4.048443184038e+13       1.055351497771e+14       1.055351497771e+14       3.512267498660e+13      -6.719194435086e+14       2.545965413758e-04       5.703576659388e-02 
       2.146140197858e+06       1.590419983031e-10       2.093300820525e-01       1.025649151705e+07       1.405970089389e+04       6.551153720885e-03       3.017410331795e+10       1.208472252964e-01       5.837303009262e+13       2.461772311118e+10       1.321002367253e+11       6.311737861979e+12       3.328050437906e-01       4.035413232478e+13       1.051956182392e+14       1.051956182392e+14       3.500963233468e+13      -6.692177099313e+14       2.546082444804e-04       5.703490873322e-02 
       2.144411265951e+06       1.592984889644e-10       2.094987874316e-01       1.023997945127e+07       1.405970072519e+04       6.556435508429e-03       3.014979469069e+10       1.209446119868e-01       5.818515595930e+13       2.455827489596e+10       1.317812338969e+11       6.291431514936e+12       3.328046185329e-01       4.022425217937e+13       1.048571791624e+14       1.048571791624e+14       3.489695351158e+13      -6.665268401275e+14       2.546199479471e-04       5.703405237174e-02 
       2.142683726871e+06       1.595553932194e-10       2.096676287238e-01       1.022349397375e+07       1.405970055635e+04       6.561721554286e-03       3.012550564646e+10       1.210420771204e-01       5.799788650060e+13       2.449897023952e+10       1.314630014137e+11       6.271190504634e+12       3.328041929334e-01       4.009479005440e+13       1.045198290313e+14       1.045198290313e+14       3.478463734629e+13      -6.638467904125e+14       2.546316517762e-04       5.703319751045e-02 
       2.140957579497e+06       1.598127117347e-10       2.098366060363e-01       1.020703504167e+07       1.405970038737e+04       6.567011861890e-03       3.010123616949e+10       1.211396207604e-01       5.781121977037e+13       2.443980879519e+10       1.311455374157e+11       6.251014620829e+12       3.328037669918e-01       3.996574460447e+13       1.041835643419e+14       1.041835643419e+14       3.467268267161e+13      -6.611775172772e+14       2.546433559680e-04       5.703234415035e-02 
       2.139232822708e+06       1.600704451783e-10       2.100057194766e-01       1.019060261228e+07       1.405970021826e+04       6.572306434676e-03       3.007698624403e+10       1.212372429700e-01       5.762515382873e+13       2.438079021713e+10       1.308288400470e+11       6.230903653991e+12       3.328033407079e-01       3.983711448850e+13       1.038483816015e+14       1.038483816015e+14       3.456108832409e+13      -6.585189773880e+14       2.546550605228e-04       5.703149229244e-02 
       2.137509455383e+06       1.603285942190e-10       2.101749691574e-01       1.017419664291e+07       1.405970004901e+04       6.577605276082e-03       3.005275585430e+10       1.213349438124e-01       5.743968674203e+13       2.432191416034e+10       1.305129074563e+11       6.210857395224e+12       3.328029140815e-01       3.970889836974e+13       1.035142773286e+14       1.035142773286e+14       3.444985314400e+13      -6.558711275848e+14       2.546667654409e-04       5.703064193771e-02 
       2.135787476404e+06       1.605871595270e-10       2.103443551860e-01       1.015781709094e+07       1.405969987962e+04       6.582908389550e-03       3.002854498459e+10       1.214327233509e-01       5.725481658285e+13       2.426318028065e+10       1.301977377968e+11       6.190875636298e+12       3.328024871121e-01       3.958109491574e+13       1.031812480530e+14       1.031812480530e+14       3.433897597536e+13      -6.532339248815e+14       2.546784707226e-04       5.702979308719e-02 
       2.134066884651e+06       1.608461417734e-10       2.105138776751e-01       1.014146391383e+07       1.405969971010e+04       6.588215778525e-03       3.000435361916e+10       1.215305816487e-01       5.707054142997e+13       2.420458823472e+10       1.298833292261e+11       6.170958169666e+12       3.328020597996e-01       3.945370279832e+13       1.028492903154e+14       1.028492903154e+14       3.422845566590e+13      -6.506073264645e+14       2.546901763682e-04       5.702894574187e-02 
       2.132347679007e+06       1.611055416302e-10       2.106835367322e-01       1.012513706910e+07       1.405969954044e+04       6.593527446452e-03       2.998018174229e+10       1.216285187694e-01       5.688685936837e+13       2.414613768004e+10       1.295696799063e+11       6.151104788446e+12       3.328016321437e-01       3.932672069361e+13       1.025184006680e+14       1.025184006680e+14       3.411829106707e+13      -6.479912896926e+14       2.547018823781e-04       5.702809990276e-02 
       2.130629858356e+06       1.613653597708e-10       2.108533324663e-01       1.010883651435e+07       1.405969937064e+04       6.598843396782e-03       2.995602933830e+10       1.217265347763e-01       5.670376848917e+13       2.408782827495e+10       1.292567880039e+11       6.131315286422e+12       3.328012041441e-01       3.920014728197e+13       1.021885756738e+14       1.021885756738e+14       3.400848103402e+13      -6.453857720961e+14       2.547135887526e-04       5.702725557088e-02 
       2.128913421582e+06       1.616255968695e-10       2.110232649902e-01       1.009256220724e+07       1.405969920071e+04       6.604163632968e-03       2.993189639150e+10       1.218246297328e-01       5.652126688964e+13       2.402965967857e+10       1.289446516899e+11       6.111589458040e+12       3.328007758005e-01       3.907398124801e+13       1.018598119071e+14       1.018598119071e+14       3.389902442556e+13      -6.427907313758e+14       2.547252954918e-04       5.702641274723e-02 
       2.127198367569e+06       1.618862536018e-10       2.111933344113e-01       1.007631410551e+07       1.405969903064e+04       6.609488158464e-03       2.990778288620e+10       1.219228037026e-01       5.633935267319e+13       2.397163155088e+10       1.286332691396e+11       6.091927098408e+12       3.328003471126e-01       3.894822128060e+13       1.015321059529e+14       1.015321059529e+14       3.378992010420e+13      -6.402061254029e+14       2.547370025963e-04       5.702557143282e-02 
       2.125484695205e+06       1.621473306442e-10       2.113635408423e-01       1.006009216695e+07       1.405969886044e+04       6.614816976729e-03       2.988368880675e+10       1.220210567492e-01       5.615802394931e+13       2.391374355266e+10       1.283226385328e+11       6.072328003338e+12       3.327999180803e-01       3.882286607279e+13       1.012054544075e+14       1.012054544075e+14       3.368116693610e+13      -6.376319122183e+14       2.547487100663e-04       5.702473162866e-02 
       2.123772403375e+06       1.624088286742e-10       2.115338843923e-01       1.004389634943e+07       1.405969869009e+04       6.620150091223e-03       2.985961413749e+10       1.221193889362e-01       5.597727883360e+13       2.385599534553e+10       1.280127580536e+11       6.052791969238e+12       3.327994887031e-01       3.869791432187e+13       1.008798538781e+14       1.008798538781e+14       3.357276379108e+13      -6.350680500311e+14       2.547604179020e-04       5.702389333575e-02 
