# Matter power spectrum P(k) at redshift z=0
# for k=1.04887e-05 to 4.87874 h/Mpc,
# number of wavenumbers equal to 551
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.506307082830e-02       1.166282507957e+04 
       3.522387668475e-02       1.160799612989e+04 
       3.538538042005e-02       1.155308697718e+04 
       3.554760198654e-02       1.149827207197e+04 
       3.571056205474e-02       1.144361369748e+04 
       3.587428204659e-02       1.138904133261e+04 
       3.603878417059e-02       1.133454210461e+04 
       3.620409145905e-02       1.127997096708e+04 
       3.637022780754e-02       1.122576583239e+04 
       3.653721801672e-02       1.117155162393e+04 
       3.670508783668e-02       1.111730117025e+04 
       3.687386401410e-02       1.106327738567e+04 
       3.704357434226e-02       1.100934914481e+04 
       3.721424771428e-02       1.095552763186e+04 
       3.738591417974e-02       1.090180233287e+04 
       3.755860500492e-02       1.084811916786e+04 
       3.773235273712e-02       1.079457765602e+04 
       3.790719127309e-02       1.074107911032e+04 
       3.808315593222e-02       1.068773203309e+04 
       3.826028353457e-02       1.063439816028e+04 
       3.843861248445e-02       1.058121111273e+04 
       3.861818285973e-02       1.052818573764e+04 
       3.879903650755e-02       1.047516153621e+04 
       3.898121714690e-02       1.042227112394e+04 
       3.916477047869e-02       1.036939259351e+04 
       3.934974430399e-02       1.031664813345e+04 
       3.953618865107e-02       1.026404566204e+04 
       3.972415591227e-02       1.021150832176e+04 
       3.991370099125e-02       1.015904916469e+04 
       4.010488146198e-02       1.010656409298e+04 
       4.029775774027e-02       1.005426736261e+04 
       4.049239326923e-02       1.000198095668e+04 
       4.068885471996e-02       9.949828368682e+03 
       4.088721220893e-02       9.897665098604e+03 
       4.108753953391e-02       9.845732931489e+03 
       4.128991443006e-02       9.793766494409e+03 
       4.149441884865e-02       9.741867808636e+03 
       4.170113926037e-02       9.689900516360e+03 
       4.191016698637e-02       9.638084001395e+03 
       4.212159855954e-02       9.586419099635e+03 
       4.233553611991e-02       9.534656823903e+03 
       4.255208784761e-02       9.482961106147e+03 
       4.277136843796e-02       9.431358060921e+03 
       4.299349962362e-02       9.379650787544e+03 
       4.321861074934e-02       9.328042585333e+03 
       4.344683940576e-02       9.276409842444e+03 
       4.367833212961e-02       9.224847489779e+03 
       4.391324517871e-02       9.173262691911e+03 
       4.415174539139e-02       9.121633737162e+03 
       4.439401114147e-02       9.070073810570e+03 
       4.464023340160e-02       9.018396555041e+03 
       4.489061692989e-02       8.966798913646e+03 
       4.514538159698e-02       8.915081434669e+03 
       4.540476387367e-02       8.863279996501e+03 
       4.566901850267e-02       8.811442911798e+03 
       4.593842038167e-02       8.759570286373e+03 
       4.621326669039e-02       8.707515055928e+03 
       4.649387929932e-02       8.655417011748e+03 
       4.678060750543e-02       8.603239106600e+03 
       4.707383114817e-02       8.550766768260e+03 
       4.737396416960e-02       8.498318127245e+03 
       4.768145869469e-02       8.445625251839e+03 
       4.799680972338e-02       8.392672354752e+03 
       4.832056054470e-02       8.339569772111e+03 
       4.865330900623e-02       8.286232343480e+03 
       4.899571480135e-02       8.232544149851e+03 
       4.934850797200e-02       8.178662276670e+03 
       4.971249886987e-02       8.124377306135e+03 
       5.008858987452e-02       8.069822658896e+03 
       5.047778923801e-02       8.014745792488e+03 
       5.088122751483e-02       7.959243663919e+03 
       5.130017714898e-02       7.903236246301e+03 
       5.173607593462e-02       7.846629359183e+03 
       5.219055524999e-02       7.789442744148e+03 
       5.266547419866e-02       7.731435904620e+03 
       5.316296108998e-02       7.672632220758e+03 
       5.368546406875e-02       7.612973423667e+03 
       5.423581317856e-02       7.552200996080e+03 
       5.481729673083e-02       7.490256031669e+03 
       5.543375555743e-02       7.426904156144e+03 
       5.608969953121e-02       7.361992517597e+03 
       5.679045156747e-02       7.295140901558e+03 
       5.754232496857e-02       7.226023937407e+03 
       5.835283998403e-02       7.154243181360e+03 
       5.923098387073e-02       7.079221378674e+03 
       6.018751365347e-02       7.000077588074e+03 
       6.123528864064e-02       6.915951517976e+03 
       6.238959430683e-02       6.825470184179e+03 
       6.366837068599e-02       6.726848078644e+03 
       6.509217511870e-02       6.617788300499e+03 
       6.668358659505e-02       6.495115179726e+03 
       6.846562882252e-02       6.355025003138e+03 
       7.045877683021e-02       6.192916905872e+03 
       7.267648127517e-02       6.004129578906e+03 
       7.512015188572e-02       5.784968127390e+03 
       7.777587280397e-02       5.534336847482e+03 
       8.061538716993e-02       5.255167965942e+03 
       8.360177895318e-02       4.954922145815e+03 
       8.669712753665e-02       4.644559057463e+03 
       8.986847517637e-02       4.336674215182e+03 
       9.309041829694e-02       4.043205728042e+03 
       9.634495510404e-02       3.773810513345e+03 
       9.962003231091e-02       3.535111787638e+03 
       1.029078726220e-01       3.330376486835e+03 
       1.062035744436e-01       3.159857331593e+03 
       1.095040935805e-01       3.021124538672e+03 
       1.128075563806e-01       2.909924236228e+03 
       1.161128159246e-01       2.820647692762e+03 
       1.194191724090e-01       2.746849420610e+03 
       1.227261996080e-01       2.682236532565e+03 
       1.260336381401e-01       2.620644846631e+03 
       1.293413301781e-01       2.556906650039e+03 
       1.326491796413e-01       2.487253794292e+03 
       1.359571279713e-01       2.409508328831e+03 
       1.392651394088e-01       2.323132482463e+03 
       1.425731920497e-01       2.229121859755e+03 
       1.458812724144e-01       2.129714646361e+03 
       1.491893721506e-01       2.027817131017e+03 
       1.524974860311e-01       1.926827360510e+03 
       1.558056107372e-01       1.829805720277e+03 
       1.591137441201e-01       1.739432874924e+03 
       1.624218847512e-01       1.657702502756e+03 
       1.657300316484e-01       1.585884379061e+03 
       1.690381841093e-01       1.524275450122e+03 
       1.723463416089e-01       1.472511603892e+03 
       1.756545037374e-01       1.429536692484e+03 
       1.789626701612e-01       1.393787375521e+03 
       1.822708405988e-01       1.363501558601e+03 
       1.855790148062e-01       1.336833674877e+03 
       1.888871925666e-01       1.311872563269e+03 
       1.921953736850e-01       1.287147623094e+03 
       1.955035579832e-01       1.260969093676e+03 
       1.988117452973e-01       1.232366914097e+03 
       2.021199354759e-01       1.200860663646e+03 
       2.054281283779e-01       1.166489055765e+03 
       2.087363238721e-01       1.129742114734e+03 
       2.120445218357e-01       1.091469204874e+03 
       2.153527221537e-01       1.052652729063e+03 
       2.186609247182e-01       1.014334285405e+03 
       2.219691294280e-01       9.774658477002e+02 
       2.252773361877e-01       9.427864949980e+02 
       2.285855449077e-01       9.108456347611e+02 
       2.318937555034e-01       8.819629042139e+02 
       2.352019678953e-01       8.562588719749e+02 
       2.385101820079e-01       8.336611330278e+02 
       2.418183977702e-01       8.138857145874e+02 
       2.451266151149e-01       7.964741650388e+02 
       2.484348339785e-01       7.809896278677e+02 
       2.517430543005e-01       7.667120598211e+02 
       2.550512760240e-01       7.530840766693e+02 
       2.583594990948e-01       7.395602483455e+02 
       2.616677234613e-01       7.257337683255e+02 
       2.649759490748e-01       7.113016067383e+02 
       2.682841758889e-01       6.961518500306e+02 
       2.715924038595e-01       6.802853896228e+02 
       2.749006329444e-01       6.637411569827e+02 
       2.782088631038e-01       6.467879189241e+02 
       2.815170942996e-01       6.296308308663e+02 
       2.848253264953e-01       6.125856244977e+02 
       2.881335596565e-01       5.959633427552e+02 
       2.914417937500e-01       5.800394316477e+02 
       2.947500287442e-01       5.650411625217e+02 
       2.980582646090e-01       5.511074699393e+02 
       3.013665013156e-01       5.382966147017e+02 
       3.046747388364e-01       5.265666565481e+02 
       3.079829771450e-01       5.158265557157e+02 
       3.112912162162e-01       5.059279599081e+02 
       3.145994560258e-01       4.967201542689e+02 
       3.179076965506e-01       4.880231006491e+02 
       3.212159377684e-01       4.796632731606e+02 
       3.245241796579e-01       4.714826339057e+02 
       3.278324221986e-01       4.633275072801e+02 
       3.311406653710e-01       4.551101004711e+02 
       3.344489091563e-01       4.467464590699e+02 
       3.377571535362e-01       4.382183941706e+02 
       3.410653984935e-01       4.295510437232e+02 
       3.443736440114e-01       4.207942232752e+02 
       3.476818900739e-01       4.120503389195e+02 
       3.509901366654e-01       4.033913883337e+02 
       3.542983837711e-01       3.949069491847e+02 
       3.576066313766e-01       3.866747037826e+02 
       3.609148794681e-01       3.787385840690e+02 
       3.642231280324e-01       3.711741147818e+02 
       3.675313770566e-01       3.639891511908e+02 
       3.708396265283e-01       3.571965998651e+02 
       3.741478764357e-01       3.507913480362e+02 
       3.774561267672e-01       3.447363355051e+02 
       3.807643775116e-01       3.389773452555e+02 
       3.840726286584e-01       3.334521364887e+02 
       3.873808801971e-01       3.280999377834e+02 
       3.906891321178e-01       3.228638318871e+02 
       3.939973844108e-01       3.177061579514e+02 
       3.973056370666e-01       3.125914309926e+02 
       4.006138900765e-01       3.075031324297e+02 
       4.039221434315e-01       3.024374228331e+02 
       4.072303971232e-01       2.973806751696e+02 
       4.105386511435e-01       2.923443548406e+02 
       4.138469054845e-01       2.873412288285e+02 
       4.171551601384e-01       2.823918344842e+02 
       4.204634150979e-01       2.775249707139e+02 
       4.237716703559e-01       2.727645375273e+02 
       4.270799259052e-01       2.681313756808e+02 
       4.303881817393e-01       2.636443211143e+02 
       4.336964378515e-01       2.593107455513e+02 
       4.370046942355e-01       2.551220584863e+02 
       4.403129508851e-01       2.510766266531e+02 
       4.436212077945e-01       2.471717070203e+02 
       4.469294649577e-01       2.433907878524e+02 
       4.502377223693e-01       2.397280746609e+02 
       4.535459800236e-01       2.361793557048e+02 
       4.568542379156e-01       2.327217365002e+02 
       4.601624960399e-01       2.293435142096e+02 
       4.634707543916e-01       2.260186530718e+02 
       4.667790129659e-01       2.227390049144e+02 
       4.700872717580e-01       2.194957932745e+02 
       4.733955307633e-01       2.162871665961e+02 
       4.767037899775e-01       2.131144124500e+02 
       4.800120493961e-01       2.099795327561e+02 
       4.833203090150e-01       2.068874820247e+02 
       4.866285688300e-01       2.038404519772e+02 
       4.899368288372e-01       2.008421731565e+02 
       4.932450890327e-01       1.978984085918e+02 
       4.965533494127e-01       1.950154069870e+02 
       4.998616099735e-01       1.921979378787e+02 
       5.031698707116e-01       1.894536227881e+02 
       5.064781316235e-01       1.867845978741e+02 
       5.097863927057e-01       1.841901134530e+02 
       5.130946539550e-01       1.816642858283e+02 
       5.164029153682e-01       1.792022016332e+02 
       5.197111769421e-01       1.767950093639e+02 
       5.230194386736e-01       1.744388648480e+02 
       5.263277005598e-01       1.721271636792e+02 
       5.296359625978e-01       1.698583817425e+02 
       5.329442247847e-01       1.676288889583e+02 
       5.362524871178e-01       1.654336806804e+02 
       5.395607495943e-01       1.632698680589e+02 
       5.428690122117e-01       1.611343227464e+02 
       5.461772749673e-01       1.590259086241e+02 
       5.494855378587e-01       1.569459205271e+02 
       5.527938008835e-01       1.548967405210e+02 
       5.561020640391e-01       1.528822306145e+02 
       5.594103273234e-01       1.509039987877e+02 
       5.627185907340e-01       1.489641963484e+02 
       5.660268542687e-01       1.470618160403e+02 
       5.693351179254e-01       1.451958214768e+02 
       5.957956309236e-01       1.315150871140e+02 
       6.254191280084e-01       1.182436220483e+02 
       6.592384732275e-01       1.052355707909e+02 
       6.988809356876e-01       9.243500177902e+01 
       7.470841732467e-01       7.961519970636e+01 
       8.088359129414e-01       6.655595275910e+01 
       8.940574216788e-01       5.298075524924e+01 
       1.023558363878e+00       3.879989625573e+01 
       1.233624392949e+00       2.508588457154e+01 
       1.543089036098e+00       1.474159746153e+01 
       1.942262748113e+00       8.458515726972e+00 
       2.445161011763e+00       4.811226517788e+00 
       3.078275329844e+00       2.716197333590e+00 
       3.875319037239e+00       1.523035912364e+00 
       4.878737614790e+00       8.487227909944e-01 
