# logA n_s H0 omega_b omega_cdm m_ncdm w0_fld wa_fld tau_reio weight loglikelihood
3.85138535e+00 8.05463385e-01 2.24573117e+01 9.12980493e-02 5.76140127e-02 1.01636552e+00 -4.35599251e-01 -1.83873023e+00 3.74842667e-01 0.00000000e+00 -1.00000000e+300
1.67955791e+00 9.29980585e-01 2.41472394e+01 4.50234828e-02 2.72508503e-01 3.49283942e-01 -1.44984616e+00 -1.26828244e+00 3.98802163e-01 0.00000000e+00 -1.00000000e+300
2.86456804e+00 8.52187416e-01 6.30202757e+01 7.00011400e-02 9.75694754e-01 3.98255913e-01 -1.04182618e+00 -9.92112321e-01 4.25500557e-02 0.00000000e+00 -1.00000000e+300
1.75299661e+00 1.13185440e+00 8.89491047e+01 6.09339022e-03 3.37222864e-01 1.43847073e+00 -7.95960383e-01 -9.03793894e-01 5.79150538e-01 0.00000000e+00 -1.00000000e+300
3.71848500e+00 1.06825007e+00 3.34660352e+01 3.64317065e-02 5.62174345e-01 1.57097879e+00 -4.37338687e-01 3.96953571e-01 7.06698561e-01 0.00000000e+00 -1.00000000e+300
2.75314240e+00 8.53530168e-01 6.13154120e+01 4.12862645e-02 3.09261152e-01 9.32411975e-01 -1.78415193e+00 -1.90073220e-01 2.78877129e-01 0.00000000e+00 -1.00000000e+300
3.08751235e+00 1.02434261e+00 9.31222586e+01 9.31497982e-02 4.84810036e-01 1.65893787e+00 -2.02397988e-01 1.25653277e+00 4.68282115e-01 0.00000000e+00 -1.00000000e+300
1.79586022e+00 8.00145642e-01 8.55421449e+01 4.91842384e-02 2.49788212e-01 2.56172987e-01 -1.30487236e+00 -8.55537620e-01 9.74101576e-02 0.00000000e+00 -1.00000000e+300
2.12205069e+00 8.76013067e-01 4.47965514e+01 8.92411751e-02 5.10933837e-01 2.24659984e-01 -4.14397436e-01 3.60382183e-01 6.63959242e-02 0.00000000e+00 -1.00000000e+300
2.68321808e+00 1.08140694e+00 9.65242543e+01 8.46169421e-02 3.16120108e-01 4.29157287e-01 -3.32403474e-01 -4.65632972e-01 5.60856709e-01 0.00000000e+00 -1.00000000e+300
