# logA n_s H0 omega_b omega_cdm m_ncdm w0_fld wa_fld tau_reio
2.72977789e+00 1.10890901e+00 7.41058621e+01 2.82011121e-02 1.00326393e-01 1.87953275e+00 -5.44941518e-01 -1.54032148e+00 2.47536341e-01
2.83144290e+00 1.08251389e+00 6.72026451e+01 1.81207032e-02 9.10573000e-02 1.53783765e+00 -6.30161060e-01 -1.45173912e+00 8.13239727e-02
3.54239875e+00 8.48847031e-01 7.79461039e+01 3.16083476e-02 1.36477394e-01 6.57216932e-01 -7.49783183e-01 -5.29157604e-01 5.34617637e-01
2.98730001e+00 1.19097847e+00 7.92143607e+01 3.07794682e-02 1.70647273e-01 3.22899734e-01 -6.31981001e-01 -9.98257866e-01 4.36253282e-01
2.04351295e+00 1.12510435e+00 6.53337373e+01 1.58337271e-02 5.54211327e-02 1.74600437e+00 -8.81322556e-01 -3.04594465e-01 5.09158028e-01
2.95255312e+00 1.11128795e+00 6.24926374e+01 1.21118987e-02 9.16595591e-02 1.21499682e+00 -6.80850625e-01 -1.15003279e+00 3.26147858e-01
3.68977817e+00 1.01185498e+00 8.31527321e+01 3.12470192e-02 2.02308432e-01 2.00436009e-01 -6.07730984e-01 -1.49640346e+00 6.28790114e-01
1.70286793e+00 1.12305919e+00 6.92001641e+01 1.80945319e-02 1.48644263e-01 2.02318480e-01 -4.46262691e-01 -1.79864116e+00 1.70509826e-01
3.33479437e+00 1.14351235e+00 7.13186034e+01 2.32377414e-02 1.19412407e-01 1.14670448e+00 -5.57750760e-01 -1.49610495e+00 4.94150386e-01
2.58225487e+00 9.21055703e-01 7.25726130e+01 2.64280884e-02 1.34045959e-01 6.78558680e-01 -4.16155766e-01 -1.85190378e+00 5.73338129e-01
2.31916780e+00 8.98984342e-01 7.74999638e+01 2.55398486e-02 1.53727496e-01 2.00210023e-01 -8.75400671e-01 -2.59453040e-01 3.86552468e-01
2.60505653e+00 1.04264844e+00 6.94961732e+01 2.34581896e-02 1.25494552e-01 8.40608797e-01 -3.63481017e-01 -1.85292254e+00 5.79488449e-01
3.04937410e+00 8.80491747e-01 8.04543089e+01 3.02963326e-02 1.43683438e-01 1.21583210e+00 -6.66357866e-01 -1.51115662e+00 4.53817475e-01
3.38150186e+00 1.15584261e+00 7.16768586e+01 2.91561996e-02 1.07029985e-01 1.40516505e+00 -4.27170038e-01 -1.36463307e+00 3.97920028e-01
3.18307385e+00 1.09067721e+00 7.31626344e+01 2.59872752e-02 8.25708568e-02 1.95542166e+00 -7.39579406e-01 -9.56123388e-01 2.93188845e-01
2.89445313e+00 8.53424512e-01 7.75676750e+01 2.93743689e-02 1.48371470e-01 8.25386128e-01 -5.87486067e-01 -1.43597172e+00 7.29809279e-01
3.76706696e+00 1.17894090e+00 7.41720531e+01 2.64005450e-02 1.13568759e-01 1.51690572e+00 -6.27125522e-01 -1.47876401e+00 6.94300849e-01
3.36569997e+00 1.01703944e+00 7.57361240e+01 2.88279050e-02 1.48128215e-01 4.72223886e-01 -6.12731957e-01 -9.78217652e-01 4.67858718e-01
2.91247874e+00 8.75375703e-01 7.75640915e+01 2.60927795e-02 1.35239411e-01 6.86629868e-01 -9.48454768e-01 -1.79111901e-01 2.03911533e-01
2.57307032e+00 1.15040222e+00 7.31183954e+01 2.77901926e-02 1.21569569e-01 1.42861626e+00 -4.12501084e-01 -1.76660687e+00 4.01236168e-01
3.23646858e+00 9.58015562e-01 8.32145341e+01 3.27667593e-02 1.81718910e-01 9.41850976e-01 -6.51705847e-01 -1.53874239e+00 7.26201760e-02
