logA n_s H0 omega_b omega_cdm m_ncdm w0_fld Omega_EDE tau_reio
3.101164149048956098e+00 9.560158307629834651e-01 7.537327641114018206e+01 2.244865553788588305e-02 1.290294066543589135e-01 3.582910358091673242e-02 -8.415166716382065371e-01 5.721168735405925132e-02 1.772218444963644113e-02
2.869956458221816220e+00 9.718377406450324774e-01 7.512352311559176599e+01 2.207123496020153494e-02 1.286925182166026582e-01 9.662694252155000496e-02 -8.971083720790880012e-01 5.170668829479638934e-02 7.282131820528847665e-02
3.022170870167565582e+00 9.851915886778609410e-01 7.435410970915091866e+01 2.257371422036194217e-02 1.192074254303560482e-01 6.977996317044686536e-02 -8.173302316087069919e-01 7.927288935347004406e-02 7.525229125145878328e-02
2.895804137199009975e+00 9.151004862387993599e-01 7.524097995803846572e+01 2.209695955127039674e-02 1.149640157947761365e-01 1.168603537702145312e-02 -8.526506339488684194e-01 9.159133588834965367e-02 1.926814702486041170e-02
2.876741366393791299e+00 9.627881338612964690e-01 7.720588041353045128e+01 2.241585237662515814e-02 1.254294935198509431e-01 3.997243139621654839e-02 -9.164459171495642487e-01 8.669759997535181340e-02 2.599474166900606759e-02
2.803027604356740365e+00 9.847166328133127866e-01 7.570114672323478544e+01 2.222976437999903826e-02 1.283526839907164208e-01 6.230128643898712876e-02 -8.734937609733446351e-01 7.732233904736135477e-02 1.452415290722395939e-02
3.049258194468125183e+00 9.475499847972734813e-01 7.621003100209402703e+01 2.220219213232532338e-02 1.284036070169066179e-01 2.880045689960088195e-02 -9.037723071201884117e-01 7.855710593781017881e-02 6.262181180598602737e-02
2.864200016664660620e+00 9.029689271360131775e-01 7.312079880044515789e+01 2.211526213836922591e-02 1.219261306269127793e-01 5.034098171340652128e-02 -8.504639862774228121e-01 3.859997827221517408e-02 4.842186450222167593e-02
2.987462529775509079e+00 9.611096939919683280e-01 7.347730389512551596e+01 2.217624362236971652e-02 1.282681762814670834e-01 7.619480077033136123e-02 -8.579661288231976712e-01 1.732900767549767559e-02 4.244218803091471398e-02
2.891777579350311989e+00 9.326331548409112493e-01 7.552104466383293868e+01 2.212242055678833794e-02 1.296357489785220918e-01 6.559774904006353269e-02 -8.805746001578611537e-01 7.909701937915726566e-02 3.817306673489317265e-02
2.810330001675666711e+00 9.197168854267029348e-01 7.568910373284180082e+01 2.229877400171790744e-02 1.290328377620753586e-01 9.209834582660024471e-02 -8.884424301196056639e-01 8.412685110757561757e-02 4.405080417137832022e-02
2.978910379610966608e+00 9.570234332821654366e-01 7.510297342924275199e+01 2.233319445445299672e-02 1.268564024840828641e-01 8.720147055300848937e-02 -8.793943819005936025e-01 8.200211974586185670e-02 3.178461011264611252e-02
3.158681841170954741e+00 9.895349087324368798e-01 7.207109202285323590e+01 2.204030282259959381e-02 1.204683153122028394e-01 2.379479747414977100e-02 -8.281208086417026770e-01 2.406911387408153941e-02 3.184152655178588281e-02
3.044032073623254231e+00 9.811642678660179584e-01 7.381548185397947748e+01 2.221817547279253402e-02 1.287599418245466421e-01 5.564363426560323816e-02 -8.804356773506210043e-01 1.327109071124583234e-02 2.681418628191953313e-02
