logA n_s H0 omega_b omega_cdm m_ncdm tau_reio
2.851540100176786829e+00 9.388987965470074748e-01 6.953325117044677484e+01 2.240596264922171607e-02 1.241835643191596811e-01 6.727404114736650065e-02 3.726015339644588031e-02
2.990340922466410589e+00 9.942280731797310533e-01 6.926164975133397661e+01 2.246180712178014183e-02 1.264702242727635539e-01 2.721281123206763589e-02 2.957657230035590223e-02
2.993149903647660537e+00 9.956878922956827749e-01 6.887772016090575278e+01 2.205595990947490856e-02 1.244076321928473117e-01 7.569520267680729386e-02 5.284688306118278528e-02
3.155330947371947303e+00 9.801437833284664114e-01 6.878552378973152770e+01 2.235452049054202986e-02 1.219614383526490820e-01 3.499063464027185773e-03 5.563594984793852893e-02
2.850946750750993353e+00 9.660477677863211765e-01 6.880009569027477312e+01 2.249579339742713985e-02 1.192079669189444469e-01 3.333015394813199084e-02 6.288445105629147935e-02
2.853061741611251367e+00 9.819155027255466184e-01 6.866717128386567026e+01 2.237128840775138780e-02 1.137509767489950224e-01 4.811929752342592251e-03 6.611861768025120711e-02
2.866110912531186994e+00 9.608006679008401774e-01 6.878589381353360466e+01 2.214508308286174121e-02 1.228679171181092239e-01 7.213786630671843725e-02 5.746513641146488993e-02
3.050681758812790356e+00 9.952579881549057372e-01 6.859876196736354359e+01 2.220764023153964581e-02 1.235140523492600229e-01 7.251373898695849529e-02 7.984508130067789755e-02
2.973665579962749828e+00 9.754351622717943870e-01 6.792255810227399593e+01 2.210399028671841681e-02 1.144442543761332032e-01 1.235116908231140981e-02 5.659096076832702271e-02
2.855191333129704745e+00 9.785833783021118393e-01 6.852515180081198309e+01 2.201146778908195933e-02 1.212914570111429391e-01 7.785350959989895125e-02 2.841378560966854178e-02
2.937103541605166068e+00 9.028466344097402230e-01 6.835217628418284619e+01 2.238262379085072251e-02 1.187309487061108670e-01 3.200039344724354279e-02 4.020225773379487721e-02
3.007673625651655858e+00 9.867001288025356587e-01 6.849987776893959790e+01 2.239465123896210511e-02 1.252117035002092149e-01 7.121505294266249064e-02 7.924664997764857555e-02
3.181850460606471032e+00 9.611388738159257761e-01 6.930395230484140257e+01 2.235814895363430130e-02 1.281877594596408931e-01 8.537504127706841209e-03 3.878636205219577332e-02
2.923851701511071433e+00 9.301248627053245732e-01 6.865194660777497404e+01 2.250578619444243769e-02 1.259356079732112110e-01 8.046695790816799088e-02 6.580708535304982676e-02
3.011323029497359638e+00 9.579623703656461320e-01 6.920818333199326844e+01 2.242018630575421528e-02 1.279761807618193248e-01 6.644938635336862520e-02 5.599700859790216617e-02
3.122395476848535356e+00 9.815157064533386322e-01 6.806515791893804135e+01 2.201308283039514826e-02 1.150050437982783336e-01 3.127517212051888346e-02 1.080679077035038606e-02
2.858578913791044229e+00 9.885800194075865521e-01 6.871415267152008255e+01 2.251645781878454031e-02 1.175877781310925851e-01 7.056330540844328592e-02 7.324353814636180848e-02
3.101790150723457096e+00 9.855062046498374029e-01 6.828915336719504126e+01 2.244407575059249177e-02 1.167680020846095928e-01 3.204530578835747961e-02 1.728420190028309364e-02
3.146946880661079415e+00 9.180005391482471966e-01 6.887164499732701017e+01 2.227339839775117555e-02 1.172802423855388021e-01 5.719156541122231291e-02 7.901237365776231369e-02
2.836104439410537470e+00 9.226308397216201884e-01 6.823384162142851039e+01 2.219510825900979090e-02 1.177988374694858564e-01 9.458248978562616704e-02 7.496665572824030843e-02
2.968507973814324963e+00 9.887769382916845595e-01 6.866775671938096082e+01 2.216298936096493255e-02 1.229317040722738147e-01 8.548340186232490645e-02 7.946769060129216244e-02
