weight logl logA n_s H0 omega_b omega_cdm m_ncdm tau_reio
2.133424534739715561e-155 -1.061873605427897019e+03 3.574707684078767267e-01 8.851604275381977915e-01 8.865359472777813998e-01 6.389758200659123588e-02 3.730419027085657424e-01 8.521542482784741912e-01 5.903112156557451806e-01
3.930942619577805568e-155 -1.061259954629908862e+03 8.043062574073784887e-01 1.228287512481334165e-01 9.196151973579198557e-01 2.775427712834867000e-01 7.955865463554502304e-01 8.926754103758423042e-01 4.882467942955841522e-01
5.554871459621796539e-155 -1.060911658596098050e+03 1.481561806368245637e-01 3.467663423971522052e-01 3.236985633357736258e-02 1.758344410159086157e-01 7.940713486078330163e-01 2.531152133625612644e-01 9.866128290198564743e-01
2.014123061156166699e-154 -1.059621064891058040e+03 5.222881085661950085e-01 6.516027642965023237e-01 8.759978802381553908e-01 1.849598869890733965e-01 2.017100093263519689e-01 7.395671503195845320e-01 3.631584423597263855e-01
2.867002072282774599e-153 -1.056962896783645647e+03 8.232956077012965057e-01 6.747452626799166353e-01 4.918227572288691452e-02 5.045336214335982561e-01 9.852428943076140255e-01 1.556606358699312853e-01 6.362929647868105221e-01
3.100876470810109940e-153 -1.056881978889302673e+03 4.352733616414562468e-01 9.746307999469191463e-01 9.372373600793003634e-01 6.925115681978418758e-01 8.878980168445822496e-01 1.625251775135161392e-01 7.216062421018196726e-01
3.523505881172895381e-153 -1.056751707210440145e+03 9.094266990963775221e-01 3.313977903495077815e-01 8.792931166126243259e-01 5.046415841248105272e-01 1.228868517085761614e-01 1.077560917063059565e-01 8.802281421067428280e-01
1.683495392651447709e-150 -1.050580036191522140e+03 8.892455885848524755e-01 6.441734255346116544e-01 3.895225361317877777e-02 6.206222682967510451e-02 9.130893548028965467e-01 5.457360314965479242e-01 4.930480381046453697e-02
1.915699893392286627e-150 -1.050448325378930122e+03 1.700322932485830441e-01 3.019000509816044397e-01 8.869706707783105992e-01 6.387196408370391376e-01 2.573305575701521075e-01 2.219126832813982375e-01 9.609790187427609265e-01
3.946143711979521971e-150 -1.049723169587772190e+03 1.897400550435242028e-01 9.273883483864397981e-02 9.105343583297528243e-01 3.919125734459836252e-01 6.664925074883900624e-01 1.274216769580577280e-01 9.267984577573341598e-01
9.183201474517666942e-150 -1.048876032526033669e+03 9.503781221608457175e-01 6.521320989495689169e-01 8.819951402769564686e-01 3.004275721691491707e-01 2.916157363413403036e-01 7.588344186940543246e-02 4.288422271432988930e-01
9.539386772549338980e-150 -1.048835479210582434e+03 5.306213477004256829e-01 6.778097912008332893e-01 5.107620710910831807e-02 9.933113791863334985e-01 7.480667180864276622e-01 4.764194016050424807e-01 5.283630997382107175e-01
1.803766843305621094e-149 -1.048195946152375200e+03 3.934686328564152014e-02 3.728083143254093956e-01 8.652917369380633827e-01 3.596301891391953109e-01 8.745220485502303021e-02 4.121734286026931260e-01 7.459010315144565251e-02
4.083695722618423119e-149 -1.047376320928594623e+03 1.693039946690654274e-01 3.099102594388128962e-01 8.905300587517952504e-01 5.269001611632485593e-01 4.416764346103800865e-01 9.805056825462823422e-01 6.474136873015710059e-01
9.704230707587482347e-149 -1.046508261375533039e+03 8.713509945704593918e-01 2.932994328442474208e-01 9.111609278067470674e-01 2.522109826585495762e-01 8.302761386442362168e-01 7.836036105600148183e-01 5.058082568427382242e-01
3.260474631197406308e-146 -1.040688695265220531e+03 6.484167916509100404e-01 2.457951594524254713e-01 3.941992395907678581e-02 1.836729078154808459e-01 7.607857737353411753e-01 7.155416895878998762e-01 1.800743825415216381e-01
3.909239981523382571e-146 -1.040504725065417006e+03 4.619836063612206001e-01 6.991647138065790745e-01 5.099517016017973692e-02 2.679681951788516203e-01 9.268069836626233737e-01 2.323146403282265737e-01 9.094750690386458336e-01
2.276331803537327703e-145 -1.038740417660132834e+03 9.524352876819165425e-01 5.905209736706076296e-01 8.814787331566630302e-01 5.677959820547098246e-01 3.660480785814909099e-01 7.151649446654633202e-01 4.791124470634903210e-01
9.525028274856180428e-145 -1.037306560059902267e+03 8.241168692349128966e-01 1.992204953425048553e-01 4.137127180662014680e-02 5.683153337127017091e-01 4.550607965176646230e-01 1.178769133461242680e-01 4.017174179231004505e-01
1.865060434056844390e-143 -1.034329519306520524e+03 1.585763690244449409e-01 3.724760938078883754e-01 8.814425606647510181e-01 4.882501058679462602e-01 4.020545624344246116e-01 3.489559519489011663e-01 6.542961684085301100e-01
3.581028064065294562e-143 -1.033674662835490381e+03 7.536586090852157582e-01 4.527561901937127153e-01 4.529990042047993271e-02 6.439698299366887202e-01 4.828998627850404901e-01 1.719187686404438642e-01 8.816969737236320936e-01
7.496322687253704857e-143 -1.032933400171475796e+03 4.443602704793034874e-01 1.644998718658252645e-02 8.647354379077906161e-01 8.148839714476346918e-01 7.480505976689433290e-02 1.764203512721480571e-01 4.299835538354105369e-01
6.555347279188479091e-142 -1.030762446575323793e+03 2.447077231094404448e-01 2.273029492168162635e-01 8.681324089595682247e-01 9.435371741961704473e-01 9.806718837667660615e-02 1.177243041403600587e-01 4.618124974367712188e-01
9.791202524365748870e-141 -1.028056158296517424e+03 2.842381654548741254e-01 9.196341867781910873e-01 8.927580233187953906e-01 9.408038891742575016e-01 5.128698820890397192e-01 6.412850538640739728e-01 2.761458157309250039e-01
2.082848736944535044e-140 -1.027298820942672592e+03 4.049809825014398790e-01 3.635956222865879273e-01 8.839594695000136948e-01 7.375083328389638870e-01 4.902316585791348658e-01 9.580210442180656649e-01 3.662088277707984396e-01
2.460224684306435152e-140 -1.027129804803571915e+03 2.240139797658868837e-02 6.884894571535374874e-01 5.243310186877347956e-02 7.966031813422488339e-01 6.472164072509316579e-01 9.720363152530114847e-01 4.927976571808994066e-01
1.063648196853451009e-139 -1.025663267697244919e+03 5.011125879560430763e-01 1.353160053927251472e-01 4.541620645076660523e-02 2.161245321920413076e-01 5.842639315475027795e-01 1.846020166930103512e-01 5.910650266353326687e-01
4.282018044743329662e-139 -1.024268047987184218e+03 7.790981905514362538e-01 3.792420579950700477e-01 2.750411793731177834e-02 2.152579920732334839e-01 3.579254422563182825e-02 2.483364917408092953e-01 2.102209893375978078e-01
5.824216362549753717e-138 -1.021655362838073643e+03 7.274650903512274169e-01 4.229662781373765279e-01 8.880031042736615809e-01 7.446421054821490415e-01 5.632076676724259157e-01 4.836174329725081433e-01 5.088348989934884381e-01
8.944151106186619681e-137 -1.018921302394478289e+03 4.002280029927646199e-01 5.745226000029772795e-01 5.976589113341024273e-02 7.087554315749903244e-01 7.020365878228334022e-01 6.692109238846509767e-01 8.894000244074218298e-02
3.856495786544075934e-136 -1.017457458168621315e+03 3.724021499618264119e-01 2.364514335603035144e-01 8.976379286167487370e-01 1.766596957327912776e-01 9.027783595809818484e-01 7.779928927349355483e-03 9.278123798107119624e-01
9.108244806932663892e-136 -1.016595537086381228e+03 9.514653770907144370e-01 1.005080701362789375e-01 8.790317840471971733e-01 4.950351653445380640e-01 6.050750470958071725e-01 8.134983782259738172e-01 7.028667309878935399e-01
1.136966260686584089e-134 -1.014068683386115254e+03 2.036554071202573146e-01 6.189602019737322491e-01 9.045183243985037702e-01 7.034852032587559645e-01 9.398494754811730356e-01 6.780331856848190730e-01 7.871287889989951880e-01
3.000805222242717090e-134 -1.013095666266397416e+03 5.301442977214665397e-01 8.949884853550911235e-01 8.851805842295229487e-01 2.261221815023586323e-01 8.015380128134991233e-01 5.076783002367409869e-01 8.357404234507224139e-01
4.726854692658377631e-134 -1.012638786914991215e+03 1.121796235495938765e-01 2.943298698307512673e-01 7.751471278471600002e-02 7.610914156673702635e-01 9.402349604661509597e-01 1.750397022303976646e-01 5.927806587321698961e-01
1.190665959528148564e-133 -1.011712449053026262e+03 5.637670550151044901e-01 5.682316692187228124e-01 6.785339027948888990e-02 5.264291897378132745e-01 8.104221190093108262e-01 2.506910937509249093e-01 1.503923706408838434e-02
1.402599730474367916e-132 -1.009243549275517580e+03 1.524142912982218157e-02 1.844783847693656220e-01 8.515662021176159113e-01 6.469742562867739633e-01 2.162792237726978151e-01 5.128509317081320074e-01 4.823348347685463278e-01
3.178159614778377545e-132 -1.008423074448709031e+03 9.617260733859338551e-01 3.334427176400701631e-01 8.865256538801559172e-01 7.182632286326040560e-02 9.587632607288878450e-01 6.857616081418279608e-01 9.926561776773819012e-01
8.403854465042262611e-132 -1.007448186274987847e+03 7.286262946804352714e-01 1.661452403171913561e-01 8.511629047335600440e-01 2.258527056424500801e-01 3.788962477680620777e-01 7.187957112163316786e-01 2.329822805002887964e-01
1.156774864480485375e-131 -1.007126155803788492e+03 5.937030652406326547e-01 1.605981174169264225e-01 7.088104363461678048e-02 9.813514035125993074e-01 5.795769866848494711e-01 1.417986477124693057e-01 7.755234100825150190e-01
2.854687629542138515e-131 -1.006220329222079727e+03 5.906739414286468204e-01 5.379570093504015826e-02 9.027228193692494740e-01 8.666667230611303507e-01 9.237218801795994416e-01 4.513883687048945159e-01 7.972922021326441788e-01
9.727896783985499950e-131 -1.004991793932514156e+03 9.987786632089373784e-01 2.888354744933685492e-02 8.440139996695603664e-01 2.584677574484344209e-01 2.888316424285499728e-01 6.509174436706884892e-01 5.706314622797630243e-01
