logA n_s H0 omega_b omega_cdm m_ncdm tau_reio
2.998166602985841589e+00 9.441201947841294517e-01 6.922894214207997265e+01 2.246932517484923064e-02 1.227532224943528594e-01 3.711204132892775842e-02 4.097855100078587332e-02
3.080313888049677207e+00 9.523208214614542477e-01 6.881814766495617164e+01 2.205250694275102258e-02 1.147014059347128551e-01 5.247549170050147538e-02 7.870961545921822955e-02
3.068082267897749738e+00 9.263606436015190404e-01 6.855092190774307426e+01 2.248853913699445581e-02 1.141199694687563687e-01 3.915072192144613411e-02 5.566035978696853154e-02
3.177144064267698909e+00 9.929244654503699419e-01 6.946431855362942542e+01 2.253637713568733617e-02 1.245142085788532027e-01 9.576441153103291970e-02 6.455959830722257653e-02
3.090408377661764128e+00 9.948635487969138547e-01 6.923745682548415914e+01 2.256576759388482720e-02 1.231242026129129169e-01 3.790778806453110310e-03 4.682099839803973568e-02
3.029487873999209935e+00 9.692830205779615627e-01 6.858709149905648417e+01 2.245449875526177308e-02 1.185166032029948691e-01 5.159587971080684121e-02 5.514636744299165200e-02
3.106997238572450915e+00 9.789529634297589045e-01 6.909782950985371031e+01 2.245938255990201360e-02 1.199566634435409035e-01 4.589751392491548364e-03 7.404870746059291631e-02
3.089545692285438072e+00 9.738692786801358414e-01 6.801546472541072319e+01 2.203891053814824308e-02 1.169059556341945499e-01 3.668193828755803715e-02 5.911862339975459957e-02
3.164472812660809264e+00 9.207327120039408008e-01 6.928513110523873308e+01 2.241799285576086265e-02 1.195355457287859413e-01 8.643770080274862377e-02 6.029363921541876919e-02
3.187538174110345679e+00 9.820696292217496737e-01 6.852029520563409903e+01 2.253037342674165874e-02 1.171554801456212574e-01 3.940291735278948076e-02 7.869392309109084216e-02
2.808154208146452113e+00 9.204599283135385113e-01 6.850987667517988200e+01 2.225776231109334591e-02 1.176831031755679324e-01 3.271190679714564009e-02 6.582481457754921217e-02
2.989517843928823471e+00 9.878456436412855757e-01 6.869652359139821840e+01 2.228033044228294041e-02 1.143579838709209429e-01 2.350998887877342458e-02 5.794773456014654794e-02
2.898465374679235040e+00 9.779525686300447607e-01 6.845947943724323181e+01 2.209957514278704585e-02 1.122776962461429495e-01 4.810274478598830505e-02 5.012014348096159588e-02
2.939822110986660686e+00 9.972744583274970598e-01 6.853460321324908477e+01 2.202541988536666287e-02 1.154346559192072075e-01 6.124603796351046903e-02 1.698191330290353684e-02
2.891065723868294857e+00 9.358757510305650840e-01 6.854376727413328751e+01 2.210527722374008852e-02 1.165852369660509980e-01 7.951735580122321068e-02 1.707146874547761997e-02
2.836539002704520751e+00 9.268491479617079198e-01 6.812732523894689507e+01 2.208791180590534420e-02 1.155750631599515438e-01 9.890507466233865175e-02 6.521669970265808747e-02
