weight logl logA n_s H0 omega_b omega_cdm m_ncdm tau_reio
3.321093458835625852e-126 -2.916177929546332734e+02 5.589980887020025158e-01 5.835558950299226666e-01 8.637419183247411203e-01 7.822406548361303669e-01 3.906646323185912761e-01 9.808440985674095058e-01 7.190005294956558490e-02
1.173371716888059324e-125 -2.903531205317494255e+02 8.976258401903440820e-01 6.899856240208244174e-01 8.721368544542366097e-01 6.525335877337907764e-01 5.099004889292840792e-01 3.102873180152415644e-01 5.105570291563874541e-01
3.395020801104867157e-125 -2.892881920574389483e+02 2.509796654797598059e-01 5.653756337404530763e-01 5.070115634141525440e-02 4.701476195451903539e-02 3.181944412756956275e-01 3.264833109616898099e-01 4.210214766923406904e-01
7.046324204130886930e-125 -2.885554958540446933e+02 6.354142616206505112e-01 6.066931489996876259e-01 8.492535988038796280e-02 9.011514545866309289e-01 7.801680708688647492e-01 1.179800515690073714e-01 7.377536124305494880e-02
8.774835644444920992e-125 -2.883336139062143957e+02 8.008607400813472221e-01 5.033159680292529359e-01 8.648386399102814259e-01 1.683423028245673025e-01 6.546239043610644348e-01 7.223102614102260288e-01 7.461483163441776645e-01
3.367759331158977945e-124 -2.869861692160865800e+02 9.996097113317469196e-01 1.695021886882075446e-01 8.625814541652097045e-01 5.663852758072437377e-01 4.576227390188141175e-01 5.125860640342719821e-01 7.098687936306354862e-01
3.746597150677339663e-124 -2.868770688508834610e+02 1.184232791099604221e-01 9.153702557497617187e-01 8.307993538188133131e-01 2.520169795314322059e-01 4.179694077416062914e-02 1.962391197153450229e-01 3.006953111832700865e-01
4.441620188056417795e-124 -2.867043976353174344e+02 4.478408125844969279e-01 4.321229478710738592e-01 5.784849440208972293e-02 6.420809810386067795e-01 2.886478847385942625e-01 9.605752301843921703e-01 7.310097635683134865e-01
2.413488197234451197e-123 -2.850092586736295175e+02 6.206811736359788556e-01 3.883642140798139186e-01 8.272151446261530872e-01 4.471292565732084556e-01 6.051665954917018198e-04 6.804631179813873665e-01 6.531863952806755691e-01
2.657635220489497635e-123 -2.849103950468930293e+02 6.252749996527262599e-01 8.318085695651674660e-01 8.625355036177018153e-01 8.540981165282037768e-01 4.293579471300419392e-01 9.657197229237696190e-01 1.231141351805747908e-01
3.156390667668065381e-123 -2.847359025784025448e+02 1.366726407205446359e-01 9.945851868434024690e-01 8.381815724311495464e-01 3.439354489924878466e-01 1.378704384028058838e-01 1.288972723806031118e-01 3.022556440226842334e-01
9.981736626288765004e-123 -2.835820746735895455e+02 9.473223101111537536e-01 7.355799582280451165e-01 8.542789249291515841e-01 4.018777209829904606e-03 5.415279011974802881e-01 2.415237204974094443e-01 4.122907728921704207e-01
1.252339048016273545e-122 -2.833527336252893178e+02 2.123262080990584444e-02 4.033945433039212158e-01 5.965014185744876851e-02 3.239543394526611664e-02 5.336035038750021053e-01 5.216193715934915875e-01 2.393907165181936580e-01
4.241145498997647841e-122 -2.821304132688171080e+02 9.482561101105242418e-01 4.321015840449148326e-01 8.759486791428462427e-01 3.331416778476384843e-01 8.557557797160554314e-01 6.263108880990415628e-01 9.498683525971726160e-01
7.415897619452408006e-121 -2.792665355506283618e+02 2.205774828309544633e-01 5.248007456466667886e-01 5.719524397605202370e-02 5.020730472697690905e-01 1.963753142305035837e-02 3.186719875780382738e-01 7.494953492359990310e-02
