logA n_s H0 omega_b omega_cdm m_ncdm w0_fld wa_fld tau_reio
2.955727394038442757e+00 9.083461455668319084e-01 7.073291140185726533e+01 2.209683856251027506e-02 1.163097399570713897e-01 4.648375272379540180e-02 -8.274705044991788050e-01 7.871907428200673740e-02 4.125823786330899690e-02
2.861501380001423289e+00 9.847499671313626468e-01 7.286611679056301227e+01 2.202404290180637672e-02 1.216769687726800275e-01 8.039645547029015960e-02 -8.866400488847638872e-01 6.076125435455640572e-02 6.897015210404036645e-02
2.921607540517759727e+00 9.397975679684097416e-01 7.156984139817471657e+01 2.222062554009398769e-02 1.194672506030822895e-01 6.814992529380151098e-02 -8.491028327844969414e-01 8.494367438043277929e-02 1.632670893154397271e-02
3.150796454948797010e+00 9.823551288469316578e-01 7.125274168788675411e+01 2.220603269396844576e-02 1.261428897588086073e-01 9.840119908925931691e-02 -8.109601365647547411e-01 4.719985580368203648e-02 7.093950029968928983e-02
3.043595862855195122e+00 9.673281266006783508e-01 7.241295582618899118e+01 2.247469113515698780e-02 1.284250570927274460e-01 1.119163018034281636e-02 -8.403723319567131256e-01 8.459413588635951442e-02 3.745349867732735566e-02
2.867253832491252652e+00 9.259069549036790248e-01 7.229567467988748319e+01 2.234161768121256317e-02 1.281092640015751571e-01 4.150874716464209024e-02 -8.308402061312876175e-01 1.143464097642685195e-02 4.007729652942735449e-02
2.884165415810843847e+00 9.090721897285816144e-01 7.117492550884271907e+01 2.230806544921541332e-02 1.155224050259725521e-01 1.556431023006078600e-02 -8.055192568916424989e-01 1.587113601673134644e-02 5.321754493717327505e-02
2.813180629139008015e+00 9.343175899980940002e-01 7.174351029769668742e+01 2.218259229340191138e-02 1.231649908235308982e-01 8.961399478924828021e-02 -8.440157834233406042e-01 3.076296961638266478e-02 3.160975703234566309e-02
2.995897795795412932e+00 9.684394310719121046e-01 7.037803347513987262e+01 2.200789346550056924e-02 1.199571991895506395e-01 3.613111241111365696e-02 -7.901559728596945220e-01 7.487968444169191239e-03 2.786684750929029064e-02
2.843103274401984848e+00 9.044588924736146618e-01 7.115724287479545751e+01 2.232006649310382118e-02 1.139325278084828835e-01 7.788251297572051923e-02 -8.243124305230229432e-01 4.352207402968394367e-02 2.712454916030090230e-02
