logA n_s H0 omega_b omega_cdm w0_fld wa_fld tau_reio
2.831223087885916812e+00 9.947357554666269586e-01 6.745350202061206346e+01 2.210492917912541128e-02 1.223984908621671280e-01 -7.314673576857357862e-01 -1.024087785317255195e+00 2.888621223763076368e-02
2.890230151900234468e+00 9.565755755862627163e-01 6.699755539449988362e+01 2.210320256024905436e-02 1.166633830612081729e-01 -8.489880386211055008e-01 -4.121730083948726975e-01 5.279038679621459590e-02
2.883881641187335365e+00 9.797090615378601930e-01 6.702665966042029311e+01 2.242047366346846052e-02 1.164681729376555175e-01 -8.200333444378484771e-01 -4.165436674176208331e-01 1.430237493113224040e-02
2.997241061456970890e+00 9.937936355485382789e-01 6.703766153098510472e+01 2.209805977593294612e-02 1.239953527644852421e-01 -7.564285064524032265e-01 -8.293547070127971210e-01 7.723165140867604972e-02
3.107789466607671081e+00 9.686220899424974329e-01 6.819134882434191525e+01 2.227440213084692922e-02 1.194710378611159862e-01 -8.566189378260569143e-01 -6.227617977169568331e-01 6.723320254112037653e-02
2.904868929222227170e+00 9.794625113046033782e-01 6.771110013877961364e+01 2.251978368198273225e-02 1.118222013560575823e-01 -9.544244550884641853e-01 -2.043699391221620587e-03 7.266123510343944214e-02
2.823162732983441447e+00 9.336295313364425530e-01 6.892969717388669437e+01 2.220413020915013372e-02 1.243724978102140333e-01 -8.362438400521172710e-01 -7.433747596085571452e-01 2.956395205257693337e-02
2.835706455966582329e+00 9.437969974359772252e-01 6.733560340314403447e+01 2.248498519997783537e-02 1.240956636822041631e-01 -9.538909606319445622e-01 4.678219970303132413e-02 5.762459755472803397e-02
3.085812978968241360e+00 9.607403852983575909e-01 6.677149316556661063e+01 2.235454832362274158e-02 1.126388616681693600e-01 -8.756769278376994592e-01 -2.245382720366733142e-01 6.117433421061527210e-02
2.901009845717039681e+00 9.801887791065280187e-01 6.670229957886644456e+01 2.203439934677530257e-02 1.185832482960993278e-01 -8.348844820887808549e-01 -4.897046037642134308e-01 7.763776618676580810e-02
2.803040793189622182e+00 9.401843651581448524e-01 6.655009639404231336e+01 2.239105006232225761e-02 1.206650803002129596e-01 -8.055170043542747571e-01 -4.272747954096010048e-01 7.833280309334879343e-02
2.941275396215659477e+00 9.592176179775724343e-01 6.800658409287910899e+01 2.235836534053425861e-02 1.162500288717353697e-01 -9.178820970929417733e-01 -2.245051153116011111e-01 1.811115647880483237e-02
3.048780964045720410e+00 9.753023074745380550e-01 6.776034833705422500e+01 2.215351300651844171e-02 1.249848541193865487e-01 -9.262140967067074016e-01 -2.691520869406924810e-01 6.526856619623006006e-02
3.012774270191854953e+00 9.563691357190082787e-01 6.748811558345542494e+01 2.247027510048140234e-02 1.174801125561364679e-01 -8.704546650856057610e-01 -3.670225121474544050e-01 7.057961005318585945e-02
2.954766003401143593e+00 9.605173489270897313e-01 6.595216977954565607e+01 2.235946912969222211e-02 1.112833718148630857e-01 -8.737606939314297438e-01 -1.316446902887684622e-01 6.495047233397463482e-02
2.886855621120387294e+00 9.752161908521734812e-01 6.903001826265858654e+01 2.229452121534850756e-02 1.236896673900809290e-01 -9.257091868944757884e-01 -3.794254152820564219e-01 3.723698283531141906e-02
2.848580886826494574e+00 9.180715870962906644e-01 6.852191221902577922e+01 2.222688433971976851e-02 1.232885365631071900e-01 -8.976647927651768555e-01 -3.892609877951946906e-01 2.736550800890134860e-02
3.139138378088810022e+00 9.279173969209726369e-01 6.839098670950579617e+01 2.203438179336726643e-02 1.180285169452626043e-01 -9.760285854362262814e-01 -1.487925501983937693e-01 6.514537864002986622e-02
3.151644981733070061e+00 9.063649687055491677e-01 6.729031875088469405e+01 2.243063439631544018e-02 1.160721319745923602e-01 -8.801805398866284769e-01 -1.795248149095320933e-01 1.858055413470494771e-02
3.142343078993802497e+00 9.798463726650570305e-01 6.845623611645501683e+01 2.238478191753165772e-02 1.225224867163350190e-01 -9.060616009471431642e-01 -3.470315206123932850e-01 4.480325216488514894e-02
3.096754126234981808e+00 9.870324168735935544e-01 6.805330906968562488e+01 2.231497191551833070e-02 1.248653714093309886e-01 -7.264659148383201259e-01 -1.128921623187532752e+00 7.506961854882822360e-02
3.067478806180537809e+00 9.706832993151259803e-01 6.847854548801674923e+01 2.225916828344432635e-02 1.235137407024858164e-01 -9.112454292440097525e-01 -3.827596025218225062e-01 6.554696185723418722e-02
2.955680526766192084e+00 9.828278622634670780e-01 6.663804252422752938e+01 2.246269554980587224e-02 1.133070899862888142e-01 -9.064238164752462801e-01 -5.202274911365489807e-02 6.303916276720161749e-02
3.097184239396044259e+00 9.163115879753227500e-01 6.809355082938488124e+01 2.256030937347380458e-02 1.203456316802909015e-01 -8.468952024872413720e-01 -5.488596508432883603e-01 5.352065392048056119e-02
2.935173605661337337e+00 9.577672235211425189e-01 6.857880172076279734e+01 2.258621577704106320e-02 1.245092127389891695e-01 -7.281871659270282571e-01 -1.267871347966534223e+00 1.795084868106290588e-02
3.094077251741341072e+00 9.637797608685925166e-01 6.800703298189871759e+01 2.238839611144480615e-02 1.191188955413357564e-01 -9.159936664470491596e-01 -2.380374455537359601e-01 5.555963038911323343e-02
2.970697189584661224e+00 9.903892369893096959e-01 6.524297456755515157e+01 2.247301258646588681e-02 1.103405827603394646e-01 -8.225385202731105849e-01 -1.104421749343849068e-01 2.921856905746074429e-02
2.820244367725175838e+00 9.000447511760886199e-01 6.551283349166888570e+01 2.225139050018883416e-02 1.107840109384003874e-01 -8.017225401191012679e-01 -4.255312057479265775e-01 5.404239925306122960e-02
2.932079611380851158e+00 9.252539809364485057e-01 6.682913215946184948e+01 2.240494522874604197e-02 1.201986903406501023e-01 -8.214035655463272079e-01 -4.509087554853865587e-01 4.247607221990911536e-02
3.024690241396185808e+00 9.880976848437206250e-01 6.805462740891540818e+01 2.235988803893479426e-02 1.201062893305495649e-01 -8.489716639423647848e-01 -6.122911042434195927e-01 4.733762288043199401e-02
3.117329096193435234e+00 9.472067410472024829e-01 6.748548804862525685e+01 2.215767726211922972e-02 1.201261286966421732e-01 -9.637255378635467551e-01 -1.120305110136934346e-01 1.291095880898222165e-02
3.044090046639535085e+00 9.349830559843760325e-01 6.709946261638542353e+01 2.200228110768112991e-02 1.169765039623112124e-01 -8.844977047912483403e-01 -1.988253838909288529e-01 6.251844275909365645e-02
2.869128802791387489e+00 9.875228498989863102e-01 6.916200820667260984e+01 2.250985057567461700e-02 1.258215337467349371e-01 -8.897745491970714404e-01 -5.438985938462024272e-01 6.197143265173461063e-02
2.826730388742839217e+00 9.621267331798096789e-01 6.636157930068330302e+01 2.208200564721634826e-02 1.121103974823886296e-01 -8.605419204418343071e-01 -3.186114257438494857e-01 1.725782591173672179e-02
3.036026712838110431e+00 9.870175409798654931e-01 6.750857577267890974e+01 2.219647282531717405e-02 1.124238099585252310e-01 -9.586873506257129751e-01 -4.140437809041119799e-02 2.466667892026382786e-02
2.893726332523836042e+00 9.964763951765825967e-01 6.833656364913289849e+01 2.218347907954615339e-02 1.257951398347274263e-01 -9.115138693081767940e-01 -3.176297491327844114e-01 5.371035723727251437e-02
3.003666163560467339e+00 9.126412495594271590e-01 6.878508318525510390e+01 2.204502251426751491e-02 1.293993646822040600e-01 -8.780187397492820178e-01 -4.874597164081277967e-01 7.580822224701933010e-02
2.854299130133292728e+00 9.458848795634825501e-01 6.774539638389485674e+01 2.205471086065780711e-02 1.236092532546594625e-01 -8.618567191992561050e-01 -5.945309674176162407e-01 5.625365813173174162e-02
3.000728623438539966e+00 9.527876263403606272e-01 6.707777568571192717e+01 2.252957460501418471e-02 1.126246153850501558e-01 -8.013541166854141196e-01 -6.006744289314409624e-01 2.088561546159977550e-02
3.026701823031030081e+00 9.318608986828273988e-01 6.853199669780045156e+01 2.239358847648730694e-02 1.223154672161636813e-01 -7.574234125335028711e-01 -1.123715467233905141e+00 7.130044914194524908e-02
3.087534779188677359e+00 9.874303126479674342e-01 6.783414118497776713e+01 2.225594580547759355e-02 1.172226590655173623e-01 -9.136464650874507321e-01 -2.941729055307169549e-01 6.148326510118568011e-02
2.958302668896469090e+00 9.191841686973426517e-01 6.814575938492659191e+01 2.234277891687613121e-02 1.261716265253788050e-01 -9.940935228774190335e-01 1.738277455331003196e-01 4.451888068555083511e-02
2.988503539892785277e+00 9.192110735151121093e-01 6.851017724118207752e+01 2.246315430062702581e-02 1.238220048316067967e-01 -8.552214807862335011e-01 -6.221058378961408231e-01 1.335196862172990939e-02
3.072134992672424847e+00 9.139381958066298273e-01 6.718261039156841719e+01 2.232646116861297311e-02 1.164986163063303909e-01 -8.978780276207105615e-01 -2.124493497861190683e-01 4.096785767543353884e-02
2.945414698928205066e+00 9.121686171665381870e-01 6.714284103397909576e+01 2.215004727514913174e-02 1.223150099261786361e-01 -8.890594462221577121e-01 -1.791554370251282613e-01 5.233517657847485544e-02
