weight logl logA n_s H0 omega_b omega_cdm w0_fld wa_fld tau_reio
0.000000000000000000e+00 -2.757408211284423487e+03 2.851868718460948138e+00 9.115780198520316846e-01 6.060750427244786209e+01 2.225283556289069445e-02 1.164189432688810810e-01 -1.751229651901624607e+00 -1.496800544521864840e+00 2.466997583722357196e-02
0.000000000000000000e+00 -2.704620597727389395e+03 3.018770579059725900e+00 9.411525829237129548e-01 6.376458708273857923e+01 2.238167029971786445e-02 1.165589867048627409e-01 -1.876868914134783850e+00 -1.879470207561197981e+00 3.766775167563689297e-02
0.000000000000000000e+00 -2.683667226462262079e+03 3.041185205410502856e+00 9.086303759173632866e-01 6.002970041687214575e+01 2.208893561219185328e-02 1.229798739292291415e-01 -1.804551351264833237e+00 -1.030883645358152467e+00 7.985670899466616734e-02
0.000000000000000000e+00 -2.680731487780458338e+03 2.890466794814112728e+00 9.698783461477802348e-01 6.101121000742259781e+01 2.244698142214158684e-02 1.167130972935413874e-01 -1.806043010020695894e+00 -8.977942088959309785e-01 5.574238539812439996e-02
0.000000000000000000e+00 -2.640459234328116509e+03 3.056382782933237507e+00 9.830058318421681651e-01 6.042021299672304480e+01 2.251029412209104574e-02 1.132936901776695759e-01 -1.950629720486363183e+00 7.694330637459403377e-01 5.267772303664496059e-02
0.000000000000000000e+00 -2.631498757311989721e+03 3.105470720729542222e+00 9.696493993019396074e-01 6.198069916683110137e+01 2.247497150159179571e-02 1.289154124906401189e-01 -1.918958622394983937e+00 -1.308261550535170237e+00 7.633727661688954891e-02
0.000000000000000000e+00 -2.561509237814782864e+03 3.133895905053171838e+00 9.244831224032833417e-01 6.239512923312802428e+01 2.200864808946884424e-02 1.244649068475421616e-01 -1.963897207320759897e+00 -7.549571814042468354e-01 4.325106847773535490e-02
0.000000000000000000e+00 -2.555115349986638648e+03 3.027636294618590185e+00 9.210083931697450321e-01 6.219894035309853564e+01 2.237102804394154945e-02 1.251531024175972229e-01 -1.775930628062415417e+00 -1.881614817114690030e+00 2.425458003969691370e-02
0.000000000000000000e+00 -2.540209720323696274e+03 2.907150495013260283e+00 9.857973580515163592e-01 6.924464201945572484e+01 2.210795286044509728e-02 1.182592588358984537e-01 -1.818600874329454609e+00 1.992803427304483233e+00 3.426692818988559541e-02
0.000000000000000000e+00 -2.530149255672075014e+03 2.831873037625379119e+00 9.540142749364531882e-01 6.109459834844611237e+01 2.247123740381993390e-02 1.108637057440467755e-01 -1.995575280867000645e+00 1.228812425311021084e+00 1.184447108008347335e-02
0.000000000000000000e+00 -2.523264992395660101e+03 2.922871407875093919e+00 9.438595192849253968e-01 6.451208103536038152e+01 2.208186146760618071e-02 1.140655734262212978e-01 -1.982407527174108619e+00 -5.512398346319544729e-01 1.544280869697606598e-02
0.000000000000000000e+00 -2.496213599293820153e+03 2.848466792879355669e+00 9.436868578482404679e-01 7.971399356657454405e+01 2.221597320854479946e-02 1.153142496018195323e-01 -6.638027558905872372e-01 6.375513696237642414e-01 1.650231490944496435e-02
