weight logl logA n_s H0 omega_b omega_cdm w0_fld wa_fld tau_reio
0.000000000000000000e+00 -3.979136022837324163e+03 5.882707652511626195e-01 6.556843672931744749e-02 8.862243119906689781e-01 9.203592899178911768e-01 2.946664445502379381e-01 9.969131132063950851e-01 5.835567492910065379e-01 6.763759893803700241e-01
0.000000000000000000e+00 -3.722731319690438340e+03 5.137919403417190445e-01 9.327248292638273819e-01 8.995347311608885565e-01 1.405367637630697830e-01 5.347487742370171659e-02 9.497075621179835725e-01 5.959928295911859353e-01 5.886037828009567097e-01
0.000000000000000000e+00 -3.436114196895513032e+03 9.026012802296941029e-01 1.383899426122132681e-01 8.242330589493811477e-01 3.303143445722188654e-01 9.590726713582257146e-01 9.975336209211953520e-01 5.889273647091785024e-01 4.654961351955982929e-01
0.000000000000000000e+00 -3.210502457048841734e+03 5.941747217791273350e-01 9.031552519956831393e-01 9.845894470141026700e-01 9.011586290545302580e-01 5.076171101085864557e-01 9.419495943019500217e-01 5.317103064543549085e-01 9.079031050606725106e-01
0.000000000000000000e+00 -3.167942460489986388e+03 6.604650893523560384e-01 2.447245482282524032e-01 9.076593880032273187e-01 1.608812390419855909e-02 3.636755046416297876e-01 9.638027230389746292e-01 6.242133588660172538e-01 8.604664533365591339e-02
0.000000000000000000e+00 -3.152695481964278315e+03 8.889539455695844028e-01 9.933279966288965923e-02 1.226870022077434230e-01 2.341761290659855055e-01 3.422380905852850930e-02 3.180221565529994798e-03 1.762390571276961637e-02 6.795538282556475851e-01
0.000000000000000000e+00 -2.923833754445235172e+03 5.584770823039705290e-01 6.846017549444616268e-02 8.071274149831902944e-01 1.399939819089357496e-02 1.190583503011817257e-01 9.439854242978343857e-01 5.525826356253203953e-01 1.246687877645443754e-01
0.000000000000000000e+00 -2.839155259781226960e+03 2.054966495401050475e-01 5.218147252323445118e-01 1.309300524635155227e-01 9.043517443699168323e-01 7.630645692656212731e-02 6.338253591372500217e-02 2.120987536324662193e-01 5.268997009621489980e-02
0.000000000000000000e+00 -2.762837065357094616e+03 4.215885673502840492e-01 2.297370889548755457e-01 9.014956315079913907e-02 2.664928638225336766e-01 4.692951650665474483e-01 1.152907060027392738e-01 1.310821104308634855e-02 2.998419752904346591e-02
0.000000000000000000e+00 -2.757408211284423487e+03 1.296717961523708995e-01 1.157801985203168460e-01 3.037521362239303802e-02 4.213926048178242567e-01 3.209471634440542731e-01 1.658468987322502253e-01 1.257998638695337901e-01 2.095710833889081748e-01
0.000000000000000000e+00 -2.704620597727389395e+03 5.469264476493149729e-01 4.115258292371292148e-01 1.882293541369288725e-01 6.361171661964445390e-01 3.279493352431366304e-01 8.208739057681080364e-02 3.013244810970050480e-02 3.952535953662412727e-01
0.000000000000000000e+00 -2.683667226462262079e+03 6.029630135262573631e-01 8.630375917363242166e-02 1.485020843607243179e-03 1.482260203197557358e-01 6.489936964614566595e-01 1.302990991567778423e-01 2.422790886604618832e-01 9.979529856380879860e-01
0.000000000000000000e+00 -2.680731487780458338e+03 2.261669870352824852e-01 6.987834614778024589e-01 5.056050037112991280e-02 7.449690369026482628e-01 3.356548646770692867e-01 1.293046599862027746e-01 2.755514477760172554e-01 6.534626485446342059e-01
0.000000000000000000e+00 -2.640459234328116509e+03 6.409569573330935466e-01 8.300583184216810961e-01 2.101064983615219539e-02 8.504902034850776449e-01 1.646845088834785198e-01 3.291351967575795179e-02 6.923582659364850844e-01 6.096817576663564608e-01
0.000000000000000000e+00 -2.631498757311989721e+03 7.636768018238550004e-01 6.964939930193961848e-01 9.903495834155506827e-02 7.916191693196636958e-01 9.457706245320058880e-01 5.402758507001070853e-02 1.729346123662074408e-01 9.476753802412792860e-01
0.000000000000000000e+00 -2.561509237814782864e+03 8.347397626329290388e-01 2.448312240328337497e-01 1.197564616564010809e-01 1.441348244807316714e-02 7.232453423771078027e-01 2.406852845282669850e-02 3.112607046489382912e-01 4.750152639676478161e-01
