# logA n_s H0 omega_b omega_cdm m_ncdm tau_reio weight loglikelihood
2.52961143e+00 1.05747674e+00 6.84984958e+01 3.26896263e-02 8.32938828e-01 1.40435188e+00 2.67580913e-01 0.00000000e+00 -1.00000000e+300
2.22225875e+00 9.83188231e-01 6.07829504e+01 1.33565101e-02 1.98636375e-01 1.99952313e+00 6.39480584e-01 0.00000000e+00 -1.00000000e+300
2.94831695e+00 9.44724415e-01 6.47446506e+01 9.21937072e-03 3.65380631e-01 1.98415070e+00 6.02665690e-01 0.00000000e+00 -1.00000000e+300
2.52674743e+00 8.26663027e-01 5.36764315e+01 9.11621838e-02 5.15617508e-01 1.17009994e+00 7.26268919e-01 0.00000000e+00 -1.00000000e+300
3.58616437e+00 1.02740117e+00 2.65230750e+01 6.73148939e-02 8.18892947e-01 1.62283597e+00 3.83710384e-02 0.00000000e+00 -1.00000000e+300
1.88431881e+00 1.15276166e+00 3.94118024e+01 5.04926888e-02 2.43817202e-01 1.41023812e+00 7.55174942e-01 0.00000000e+00 -1.00000000e+300
2.87860788e+00 8.10176281e-01 9.07809078e+01 6.65704733e-02 4.47548320e-01 6.89295783e-01 3.26798161e-01 0.00000000e+00 -1.00000000e+300
3.66660204e+00 8.52746549e-01 3.53747088e+01 2.79446073e-02 2.88448445e-01 9.86015278e-01 4.57042339e-01 0.00000000e+00 -1.00000000e+300
2.05032236e+00 1.15259787e+00 3.02685164e+01 9.48337115e-02 7.93013636e-01 1.14835423e+00 3.11745547e-01 0.00000000e+00 -1.00000000e+300
1.93970695e+00 1.13687683e+00 2.67201434e+01 6.00920721e-02 1.16014293e-01 7.72433312e-01 4.86983209e-01 0.00000000e+00 -1.00000000e+300
2.76838424e+00 8.82797576e-01 6.04400681e+01 9.21671095e-02 3.63443048e-01 3.97251079e-01 7.83939535e-01 0.00000000e+00 -1.00000000e+300
1.77548692e+00 1.04963424e+00 4.09308928e+01 8.06875514e-02 2.26096844e-02 7.93429064e-01 1.89674740e-01 0.00000000e+00 -1.00000000e+300
2.96021611e+00 9.94296238e-01 9.99797616e+01 9.94131407e-02 6.22507938e-01 1.78658637e+00 6.17368840e-01 0.00000000e+00 -1.00000000e+300
3.04617107e+00 1.16767485e+00 9.99098827e+01 4.41183462e-02 3.25794815e-01 1.47932751e+00 2.09053448e-01 0.00000000e+00 -1.00000000e+300
2.19010937e+00 8.05164122e-01 6.97267007e+01 3.88936109e-02 9.12081711e-01 1.08138764e+00 2.69489997e-01 0.00000000e+00 -1.00000000e+300
2.46164128e+00 9.22773788e-01 8.89006924e+01 1.96960232e-02 2.14690956e-01 6.53630141e-02 7.55340572e-01 0.00000000e+00 -1.00000000e+300
2.52070489e+00 9.08332112e-01 9.91352120e+01 3.17246327e-02 6.82165500e-01 1.22136038e+00 3.39394903e-01 0.00000000e+00 -1.00000000e+300
1.65057773e+00 8.75889119e-01 3.63226286e+01 6.19125552e-02 1.63605275e-01 1.66079090e+00 1.33194253e-01 0.00000000e+00 -1.00000000e+300
1.89616142e+00 8.13434560e-01 4.32782271e+01 6.59743540e-02 2.99230602e-01 1.71299310e-01 5.48506143e-01 0.00000000e+00 -1.00000000e+300
2.56474845e+00 9.73568411e-01 3.51988423e+01 1.85618130e-02 3.31061838e-01 2.19711379e-01 3.95694585e-01 0.00000000e+00 -1.00000000e+300
3.53847769e+00 8.78961325e-01 7.76972962e+01 6.47699718e-02 8.33195607e-01 1.09464068e-01 5.09698325e-01 0.00000000e+00 -1.00000000e+300
1.86514534e+00 8.94781066e-01 9.03383856e+01 8.80263774e-02 1.21332831e-01 8.41315551e-01 4.38815968e-01 0.00000000e+00 -1.00000000e+300
3.32706013e+00 1.16448517e+00 4.44909028e+01 7.43418919e-02 4.45576347e-01 1.92453053e+00 5.05697025e-01 0.00000000e+00 -1.00000000e+300
1.89884823e+00 1.03775850e+00 5.83831344e+01 7.41922419e-02 1.12732435e-01 5.94453114e-01 1.30646289e-01 0.00000000e+00 -1.00000000e+300
