# logA n_s H0 omega_b omega_cdm m_ncdm tau_reio
1.96711862e+00 8.43584013e-01 7.22271580e+01 2.93671842e-02 1.07539233e-01 1.78419420e+00 1.66129570e-01
2.75275177e+00 1.17642032e+00 6.86429363e+01 2.19744925e-02 1.24180969e-01 1.60220337e-01 2.11858231e-01
1.79894879e+00 9.09110835e-01 6.04510180e+01 1.46341483e-02 7.60254514e-02 1.25847177e+00 1.60164540e-01
2.87729896e+00 1.11300500e+00 7.41719712e+01 3.05573897e-02 1.20563917e-01 5.93969516e-01 6.69955918e-01
3.26941322e+00 8.98986007e-01 6.91496539e+01 2.37228581e-02 1.16137433e-01 6.99098717e-01 2.39755440e-01
2.57650492e+00 1.10645834e+00 7.17324715e+01 2.75433869e-02 1.24897646e-01 3.25184477e-01 5.27375809e-01
3.86808051e+00 1.04705759e+00 6.49403800e+01 1.99901148e-02 9.50509432e-02 8.69506598e-01 2.02838595e-01
2.50997243e+00 8.07514502e-01 6.46892814e+01 1.90357713e-02 9.77731695e-02 4.69912237e-01 3.34715478e-01
3.56247882e+00 9.43178416e-01 6.81450903e+01 2.36741634e-02 1.02303690e-01 1.64195262e+00 7.30574065e-01
2.21531273e+00 9.87996976e-01 7.17980316e+01 2.74086519e-02 1.13847991e-01 8.33779176e-01 3.60393800e-01
1.69233622e+00 1.18681795e+00 6.98137576e+01 2.51349391e-02 1.13804042e-01 7.79142654e-01 1.62617546e-01
2.63440638e+00 9.65040948e-01 7.40873479e+01 3.13966890e-02 1.26645872e-01 1.24008107e+00 3.39810456e-01
3.62697245e+00 1.00419007e+00 5.69297286e+01 1.08867213e-02 6.39962028e-02 1.43138415e+00 5.34291730e-02
2.93433901e+00 1.13303277e+00 5.95024080e+01 1.27000906e-02 9.14330155e-02 6.15652535e-01 1.32715520e-01
1.63655781e+00 1.01866390e+00 7.18795883e+01 2.63429472e-02 1.30539748e-01 1.58097861e-02 5.54938090e-01
2.40552324e+00 9.51376594e-01 6.94690703e+01 2.43155777e-02 1.14255569e-01 4.25805046e-01 6.61792664e-01
2.70568919e+00 9.48736813e-01 7.21512903e+01 2.96980047e-02 1.06739146e-01 1.80291320e+00 3.98455104e-01
1.86122862e+00 1.15378305e+00 6.08678652e+01 1.51011718e-02 7.75785173e-02 1.33139230e+00 2.75947077e-01
3.67563785e+00 9.75622202e-01 5.64114335e+01 9.30323913e-03 7.95367718e-02 4.20420138e-01 3.16730675e-01
3.57043124e+00 8.36274242e-01 6.89272732e+01 2.47847667e-02 1.13085780e-01 6.03650557e-01 2.80131261e-01
2.20567441e+00 1.12993838e+00 7.34888324e+01 3.02388803e-02 1.22850187e-01 1.09906601e+00 3.56073392e-01
3.05198730e+00 1.04861609e+00 6.94014036e+01 2.52518580e-02 1.03901853e-01 1.37312505e+00 9.19831502e-02
2.18696893e+00 8.03219539e-01 6.49204595e+01 2.03796757e-02 8.75509758e-02 1.85692225e+00 4.45374134e-01
3.39637724e+00 1.18075063e+00 6.61433334e+01 1.99256836e-02 1.04852469e-01 2.02651175e-01 2.19956833e-01
3.33255911e+00 8.06374701e-01 7.37367625e+01 3.08317487e-02 1.20904192e-01 5.27634522e-01 1.09690327e-01
2.84213986e+00 8.86271353e-01 6.98559958e+01 2.63466144e-02 1.07049583e-01 1.95430311e+00 2.17698185e-01
2.40379490e+00 1.07053790e+00 7.18074810e+01 3.06704560e-02 1.05670091e-01 1.55138548e+00 7.54830657e-01
2.34525316e+00 9.78629983e-01 7.43124980e+01 3.12577897e-02 1.20018865e-01 1.51325917e+00 3.04814714e-01
3.52420399e+00 1.10436552e+00 7.26885701e+01 2.75873502e-02 1.24342645e-01 2.81511597e-01 4.12010933e-02
2.73677436e+00 1.18548983e+00 7.45255107e+01 3.05514645e-02 1.19711897e-01 8.47795966e-01 4.34801835e-01
3.62552949e+00 8.89800647e-01 7.29269655e+01 3.04870269e-02 1.23433124e-01 1.35804292e+00 4.68734447e-01
3.65450491e+00 1.02069244e+00 7.14937364e+01 2.71741932e-02 1.16084785e-01 7.84579713e-01 7.54168264e-01
3.70350202e+00 1.09504028e+00 6.02439976e+01 1.51959813e-02 7.16163081e-02 1.70759907e+00 1.46190594e-01
2.08831278e+00 1.07830919e+00 7.36104049e+01 3.11424629e-02 1.00512572e-01 1.75477677e+00 3.80643141e-02
2.48670944e+00 1.16620688e+00 6.33557220e+01 1.81864423e-02 8.78921848e-02 1.49715420e+00 5.47403114e-01
2.58445438e+00 9.33231954e-01 6.91909246e+01 2.48130965e-02 1.12456983e-01 1.22104126e+00 4.08369518e-01
2.91583746e+00 8.00747378e-01 6.49371764e+01 1.90319719e-02 9.90722835e-02 7.64995803e-01 6.35399077e-01
3.50035660e+00 1.05907504e+00 7.05289362e+01 2.74249166e-02 9.93515729e-02 1.20654797e+00 7.35184485e-02
3.35631103e+00 9.68953702e-01 6.56461608e+01 2.08548191e-02 8.63943979e-02 1.76771426e+00 1.10853816e-01
2.60753846e+00 8.85693094e-01 5.82533597e+01 1.14532091e-02 8.23787355e-02 1.03121232e+00 2.76031497e-01
2.20567441e+00 1.12993838e+00 7.34888324e+01 3.02388803e-02 1.22850187e-01 1.09906601e+00 3.56073392e-01
2.74975447e+00 9.07801812e-01 5.90035144e+01 1.24853030e-02 8.36688605e-02 9.47409171e-01 1.86972355e-01
2.15894730e+00 9.14143592e-01 7.26512715e+01 2.80890248e-02 1.24953347e-01 3.89803466e-01 7.29809394e-01
3.68858271e+00 1.08188428e+00 7.37953142e+01 3.22628153e-02 9.59358169e-02 1.89654918e+00 7.10650642e-01
3.52919596e+00 1.19597120e+00 6.79715713e+01 2.26439563e-02 1.04717707e-01 3.80289775e-01 3.53224880e-01
3.16451369e+00 1.15995356e+00 6.01817802e+01 1.30290196e-02 8.36232342e-02 5.79795699e-01 1.52944644e-01
2.88135140e+00 1.00998856e+00 7.43216156e+01 2.93720878e-02 1.32808063e-01 2.67981057e-01 2.96953907e-01
2.57849186e+00 9.58093221e-01 5.70654167e+01 1.11645450e-02 6.50770880e-02 1.66802677e+00 3.29177095e-01
2.83223885e+00 1.15480398e+00 6.99817996e+01 2.66126970e-02 1.05963603e-01 1.56883535e+00 6.91956542e-01
2.57849186e+00 9.58093221e-01 5.70654167e+01 1.11645450e-02 6.50770880e-02 1.66802677e+00 3.29177095e-01
1.69259782e+00 9.40219590e-01 6.37540198e+01 1.59132819e-02 1.05359621e-01 1.65245147e-01 3.15914158e-02
2.46925590e+00 1.10029662e+00 6.48432866e+01 2.03951291e-02 7.99919858e-02 1.79409462e+00 3.52652487e-01
2.27958016e+00 9.71403378e-01 5.95587152e+01 1.40560629e-02 7.71779808e-02 1.58488733e+00 6.79500018e-02
2.68812227e+00 1.01798930e+00 6.50791407e+01 2.09111478e-02 7.74699345e-02 1.98237444e+00 5.68925345e-01
1.73753129e+00 1.19690344e+00 7.42996685e+01 3.18695497e-02 1.13821940e-01 1.16057085e+00 6.88245848e-01
3.36630645e+00 1.03425415e+00 6.99648116e+01 2.64856748e-02 9.47363400e-02 1.72821461e+00 1.57084030e-01
3.48774808e+00 1.06024269e+00 7.37841018e+01 3.08643486e-02 1.31548953e-01 8.46732057e-01 7.61439642e-01
3.13993965e+00 8.56317981e-01 7.14457783e+01 2.83051339e-02 1.11392549e-01 1.67141496e+00 3.69380168e-01
2.75247889e+00 9.54934058e-01 6.25737390e+01 1.62602921e-02 8.75487571e-02 1.13971879e+00 2.54024744e-01
2.36981040e+00 9.31159023e-01 6.85215353e+01 2.52181830e-02 9.85042116e-02 1.40430093e+00 4.69150664e-01
1.87967006e+00 1.14600935e+00 6.60289308e+01 2.06284329e-02 9.72887641e-02 1.02138386e+00 6.63690542e-02
3.85323748e+00 8.30923629e-01 6.78214014e+01 2.28233018e-02 1.12091740e-01 5.47424183e-01 3.41857774e-01
2.66581124e+00 8.72854025e-01 7.28326698e+01 3.01294043e-02 1.04603215e-01 1.79039788e+00 1.90216924e-01
3.51190564e+00 1.01529853e+00 6.84255140e+01 2.53336952e-02 9.94718920e-02 1.44668892e+00 2.06978125e-01
3.83196384e+00 8.94064831e-01 6.07616838e+01 1.31839098e-02 8.72385709e-02 2.35605000e-01 2.27815629e-01
3.45334571e+00 1.18507466e+00 7.48258656e+01 3.10253298e-02 1.37400198e-01 4.45028955e-01 3.57846262e-01
2.04251727e+00 8.09527874e-01 7.44913293e+01 3.19185068e-02 1.31156105e-01 8.43822580e-01 5.15856391e-01
3.33018539e+00 1.11403751e+00 7.54275802e+01 3.20447166e-02 1.28048574e-01 1.38001565e+00 1.01098665e-01
2.09500478e+00 8.78287528e-01 6.63476734e+01 2.14539005e-02 9.35074449e-02 1.11418079e+00 4.88820247e-02
