logA n_s H0 omega_b omega_cdm m_ncdm w0_fld wa_fld tau_reio
2.983764665649899506e+00 9.582096117567264759e-01 7.106087980379565749e+01 2.246532202928905667e-02 1.291906823697882845e-01 8.757005854831780012e-02 -7.319900727840209509e-01 -3.000919313462966365e-01 4.646317600166979117e-02
3.124317255088265188e+00 9.265880963727167741e-01 6.965229210848899299e+01 2.203477806553664348e-02 1.194633470794213281e-01 3.888203262277800838e-03 -7.700431042917417201e-01 -5.295264179606906652e-03 4.745724949216406641e-02
2.874078954773754191e+00 9.326708967157596453e-01 7.478856701228271220e+01 2.212384438856010091e-02 1.151855503663472974e-01 4.810365634726934680e-02 -1.156741350141974323e+00 1.062325180409601000e+00 7.290918288332053077e-02
2.942393020816445048e+00 9.044219124057248926e-01 7.636465504331280840e+01 2.240737585653543307e-02 1.189649959511290961e-01 8.730950466756762229e-02 -1.216780009525448625e+00 9.393734362229042567e-01 5.691035848167603356e-02
2.844011094005012286e+00 9.821650526183188790e-01 7.150008676284983267e+01 2.211263873271803598e-02 1.100129332426110496e-01 8.622087780136507285e-02 -1.014967914430456641e+00 7.619680809133284605e-01 2.345739282664911080e-02
2.814038322316564589e+00 9.607044245466361820e-01 7.439951128635374289e+01 2.206460256037285142e-02 1.231912439777912149e-01 9.923274550888781798e-02 -1.078582133382759878e+00 6.820020659864360901e-01 6.015494877964004672e-02
3.028365128306898857e+00 9.827316904451470769e-01 7.222421816708246922e+01 2.253484856156966198e-02 1.207607822868390079e-01 3.773452910168585694e-02 -9.357016749607551809e-01 4.607431124820373647e-01 6.389744389950456627e-02
2.936201433403656580e+00 9.318638756976574955e-01 7.208786177254887662e+01 2.215210057941295954e-02 1.231517224227109547e-01 8.702014384949288694e-02 -9.169410149949912547e-01 3.248665102650813985e-01 5.468790664347746022e-02
2.841663447583069324e+00 9.231085035347753598e-01 7.428835107733890197e+01 2.243470397058043922e-02 1.119729523879068461e-01 9.584039314559932021e-02 -1.140488540468738599e+00 9.602214520348120175e-01 7.020890030990588337e-02
2.951024809961224626e+00 9.037506681885646431e-01 7.203734418235453063e+01 2.231894895956347546e-02 1.253702290575641198e-01 9.140896350704919016e-02 -8.900689219449899880e-01 2.051369763814698821e-01 6.217183689407400349e-02
3.179328152180898037e+00 9.189528084296695321e-01 7.066676510639985054e+01 2.208160215612145830e-02 1.240870647915282288e-01 3.546566204648954335e-02 -8.123918416495450323e-01 1.324259097884761260e-01 2.093423758821480116e-02
3.146934742195467205e+00 9.194584315589191537e-01 7.068714346257431203e+01 2.228938025435973219e-02 1.288319346797079379e-01 4.345687388512299576e-02 -6.704850651553710961e-01 -4.410300315429918072e-01 6.069843117318088344e-02
2.878927411423272797e+00 9.831508909796037310e-01 7.299758753033229652e+01 2.234641531427336222e-02 1.270040611604337233e-01 7.602464900537919679e-02 -9.260271515743521142e-01 2.696482094761267767e-01 5.610677716724345870e-02
2.832951224579193017e+00 9.346302047312211592e-01 7.247453420591254769e+01 2.203205679967526476e-02 1.271832619563978972e-01 3.474742461377410691e-02 -7.944434638961010986e-01 -2.396764601910965631e-01 3.946694829746123095e-02
3.049361924995184214e+00 9.950990349224332343e-01 7.060707355223267712e+01 2.231880487503529534e-02 1.145138700894207523e-01 8.004121558760307620e-02 -9.154984557698542247e-01 4.828179347280068257e-01 5.699133767752388724e-02
2.835392885370806582e+00 9.851620386216237701e-01 7.457323159277918023e+01 2.237618952027425542e-02 1.295020223870427534e-01 4.898666599607051642e-02 -1.046482444953787061e+00 5.958013136189865833e-01 7.396300067258064492e-02
2.982650833785751576e+00 9.211833077300548567e-01 6.998456160674112425e+01 2.214386168343413994e-02 1.110251087070238396e-01 5.367454267113443145e-02 -8.439437367697426584e-01 2.972604880010503159e-01 2.202184493762872342e-02
3.022383765610364037e+00 9.555412091810691066e-01 7.298961364417868936e+01 2.247501119600212385e-02 1.134163801430914248e-01 9.332060606043730833e-02 -9.761512879611133897e-01 4.383851658397728279e-01 4.390467461231568891e-02
2.839694674402196473e+00 9.960304869278415740e-01 7.406236712498356667e+01 2.252189301572346536e-02 1.156412635934045835e-01 3.127641314720188553e-02 -1.054268537554046148e+00 7.293939617354943117e-01 4.320393770127046312e-02
3.094031977121009636e+00 9.550413261389658626e-01 7.158745957573690077e+01 2.243352045559447380e-02 1.151168572346782104e-01 1.489088630763076883e-02 -9.611118641250018246e-01 6.289050010481522790e-01 3.034311544707248703e-02
3.141408564111491053e+00 9.483652573767396010e-01 7.118976485361434925e+01 2.226649332855703059e-02 1.246999714563593736e-01 7.747565230540215397e-02 -7.602301538672060488e-01 -2.596532857908377956e-01 7.235277673157461398e-02
2.973138179752945032e+00 9.832791945798534661e-01 7.252760419797787961e+01 2.215429965872355716e-02 1.253787498565381298e-01 2.053808560479243595e-02 -8.467648791374320361e-01 3.659584808914173593e-02 3.375637805253973306e-02
3.188993635923493830e+00 9.421885555149001057e-01 7.217566563885577580e+01 2.238131854842332485e-02 1.296863546862751793e-01 6.907630998149058565e-02 -7.985008522120535801e-01 -1.938711382262181537e-01 3.461798101950029627e-02
3.178593976200422944e+00 9.387104099402318047e-01 7.266810009350079724e+01 2.204331749650889974e-02 1.299427807997533824e-01 8.017182508679283892e-02 -7.976106497949722041e-01 -1.711373938737357214e-01 7.024742675591517937e-02
2.810193040812705600e+00 9.180655805610249409e-01 7.308714971875814115e+01 2.257713271276578712e-02 1.225205898109587299e-01 8.668865244164496164e-02 -1.049368540726018040e+00 7.880184453947656209e-01 5.657583514876345782e-02
2.859689874035731716e+00 9.731980883068952481e-01 7.255516717925897296e+01 2.239130505984775893e-02 1.155647946854194558e-01 9.032060552803444775e-02 -1.002237708469021049e+00 5.993517314063203649e-01 1.815548956602212882e-02
2.865592337636820641e+00 9.873862004396847247e-01 7.018863490545747652e+01 2.203215898841835371e-02 1.295086882231988867e-01 7.498059084306520072e-02 -6.637044969974925657e-01 -4.595710182431798074e-01 6.842565855318211154e-02
2.863811983667329919e+00 9.017358336939073071e-01 7.256899276808070454e+01 2.218223969344184851e-02 1.294053030110331459e-01 8.355241032820091840e-02 -8.744626110422448750e-01 1.116485826303583728e-01 5.958237386664168994e-02
2.951109427202957658e+00 9.998704305502933432e-01 7.455595409106331317e+01 2.252225239802390852e-02 1.267382076322544626e-01 3.836742862819153554e-03 -9.376226706749526407e-01 2.476116877090022150e-01 5.563122049008537018e-02
2.906500538634799735e+00 9.619866783400867760e-01 7.363711669432183271e+01 2.204272739994534228e-02 1.175495538811694440e-01 6.905296892508204498e-02 -1.020294805842236308e+00 5.469121633145133110e-01 6.139410932258246301e-02
2.981533544385193579e+00 9.928268992233100221e-01 7.199855564035985367e+01 2.248006769617585943e-02 1.240349692953850586e-01 4.318871433411808347e-02 -8.266799466044658651e-01 -5.366615019593101721e-02 2.735401238583577005e-02
