# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 5.30492 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.397422057899e-02       3.097423880550e+11 
       4.422979355281e-02       3.118221476523e+11 
       4.449032583360e-02       3.139084433931e+11 
       4.475610305095e-02       3.160094398957e+11 
       4.502743450392e-02       3.181122812765e+11 
       4.530465577670e-02       3.202291916549e+11 
       4.558813171716e-02       3.223593051144e+11 
       4.587825983858e-02       3.245036963163e+11 
       4.617547421737e-02       3.266534852131e+11 
       4.648024997343e-02       3.288218602470e+11 
       4.679310843808e-02       3.310064177068e+11 
       4.711462313633e-02       3.332023726934e+11 
       4.744542673739e-02       3.354087854807e+11 
       4.778621916136e-02       3.376513843319e+11 
       4.813777707216e-02       3.399034326838e+11 
       4.850096504009e-02       3.421697512540e+11 
       4.887674872396e-02       3.444526271474e+11 
       4.926621050739e-02       3.467646106364e+11 
       4.967056813086e-02       3.491022776853e+11 
       5.009119699740e-02       3.514594881731e+11 
       5.052965700323e-02       3.538400860791e+11 
       5.098772496582e-02       3.562417746414e+11 
       5.146743400368e-02       3.586731218655e+11 
       5.197112157935e-02       3.611308821415e+11 
       5.250148836656e-02       3.635967766741e+11 
       5.306167065974e-02       3.660852003864e+11 
       5.365532971666e-02       3.685807591809e+11 
       5.428676219783e-02       3.710658796681e+11 
       5.496103667412e-02       3.735415052032e+11 
       5.568416183560e-02       3.759789206983e+11 
       5.646329214182e-02       3.783580264520e+11 
       5.730697534224e-02       3.806336528308e+11 
       5.822544184811e-02       3.827507622220e+11 
       5.923092511134e-02       3.846256043764e+11 
       6.033797923528e-02       3.861057540280e+11 
       6.156371593776e-02       3.870843687609e+11 
       6.292780625486e-02       3.872735627489e+11 
       6.445197707174e-02       3.863456863107e+11 
       6.615860368697e-02       3.838880467120e+11 
       6.806796606510e-02       3.793695371744e+11 
       7.019404110131e-02       3.721616722161e+11 
       7.253961323704e-02       3.617625213190e+11 
       7.509278884846e-02       3.478343708249e+11 
       7.782744545750e-02       3.304674312162e+11 
       8.070834073462e-02       3.101982311154e+11 
       8.369850861787e-02       2.879755440205e+11 
       8.676533509153e-02       2.649037412918e+11 
       8.988341099316e-02       2.420712962434e+11 
       9.303459742784e-02       2.203633908463e+11 
       9.620668979996e-02       2.003872578992e+11 
       9.939178833790e-02       1.824673470184e+11 
       1.025849043454e-01       1.666750471914e+11 
       1.057829356857e-01       1.528919385812e+11 
       1.089839715757e-01       1.408752382979e+11 
       1.121868418082e-01       1.303068021123e+11 
       1.153908321555e-01       1.208690710275e+11 
       1.185955075215e-01       1.122515735101e+11 
       1.218006030900e-01       1.041938537342e+11 
       1.250059577098e-01       9.650721911312e+10 
       1.282114732662e-01       8.906475743260e+10 
       1.314170899543e-01       8.180775717931e+10 
       1.346227712481e-01       7.475387683734e+10 
       1.378284947693e-01       6.794712613201e+10 
       1.410342467426e-01       6.145474902198e+10 
       1.442400186290e-01       5.535577575166e+10 
       1.474458050812e-01       4.971539587995e+10 
       1.506516027019e-01       4.458456097075e+10 
       1.538574092887e-01       3.998427775896e+10 
       1.570632233756e-01       3.591197351484e+10 
       1.602690439531e-01       3.234452999711e+10 
       1.634748702978e-01       2.923838791543e+10 
       1.666807018681e-01       2.654314229205e+10 
       1.698865382403e-01       2.419858459050e+10 
       1.730923790691e-01       2.214800019674e+10 
       1.762982240628e-01       2.033388105864e+10 
       1.795040729681e-01       1.870873434141e+10 
       1.827099255602e-01       1.723139383771e+10 
       1.859157816363e-01       1.587156867837e+10 
       1.891216410114e-01       1.460265636721e+10 
       1.923275035154e-01       1.340696591082e+10 
       1.955333689907e-01       1.227691353720e+10 
       1.987392372909e-01       1.120984111072e+10 
       2.019451082797e-01       1.020677592125e+10 
       2.051509818295e-01       9.271402696761e+09 
