# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_fld            13:(.)w_fld              14:(.)rho_ur             15:(.)rho_crit           16:(.)rho_tot            17:(.)p_tot              18:(.)p_tot_prime        19:gr.fac. D             20:gr.fac. f          
       1.213035516334e+05       5.074719080614e-08       3.783526321316e+00       3.228323933832e+04       1.559303083140e+04       1.285444826385e-01       1.891505613609e+09       2.181379478735e+00       5.957821119676e+08       4.445332994977e+06       2.385393394455e+07       6.253246187974e+06       3.242276333852e-01       4.118729170805e+08       1.042207542176e+09       1.042207542176e+09       3.379124848952e+08      -3.596902335138e+08       1.904110489886e-04       8.358412628839e-02 
       1.212058286550e+05       5.082867831172e-08       3.786555795155e+00       3.223160045291e+04       1.559302780193e+04       1.286480966045e-01       1.889981449001e+09       2.183123670864e+00       5.938645817698e+08       4.434598163351e+06       2.379633016891e+07       6.233257338494e+06       3.242204926216e-01       4.105473003151e+08       1.038876067756e+09       1.038876067756e+09       3.368249104599e+08      -3.582476552707e+08       1.904238780076e-04       8.361041152667e-02 
       1.211081844023e+05       5.091029636970e-08       3.789587678106e+00       3.218004444473e+04       1.559302477005e+04       1.287517940692e-01       1.888458512265e+09       2.184869246100e+00       5.919532231606e+08       4.423889254781e+06       2.373886549800e+07       6.213332491784e+06       3.242133464156e-01       4.092259500595e+08       1.035555260465e+09       1.035555260465e+09       3.357408363929e+08      -3.568108657142e+08       1.904367119267e-04       8.363671796098e-02 
       1.210106188118e+05       5.099204518852e-08       3.792621972059e+00       3.212857118055e+04       1.559302173575e+04       1.288555750998e-01       1.886936802411e+09       2.186616205522e+00       5.900480162767e+08       4.413206206664e+06       2.368153959589e+07       6.193471442680e+06       3.242061947634e-01       4.079088525818e+08       1.032245086104e+09       1.032245086104e+09       3.346602514283e+08      -3.553798416057e+08       1.904495507501e-04       8.366304560572e-02 
       1.209131318202e+05       5.107392497698e-08       3.795658678904e+00       3.207718052734e+04       1.559301869905e+04       1.289594397637e-01       1.885416318451e+09       2.188364550208e+00       5.881489413186e+08       4.402548956553e+06       2.362435212749e+07       6.173673986644e+06       3.241990376611e-01       4.065959941944e+08       1.028945510584e+09       1.028945510584e+09       3.335831443363e+08      -3.539545598003e+08       1.904623944820e-04       8.368939447533e-02 
       1.208157233641e+05       5.115593594419e-08       3.798697800534e+00       3.202587235229e+04       1.559301565993e+04       1.290633881283e-01       1.883897059397e+09       2.190114281239e+00       5.862559785507e+08       4.391917442148e+06       2.356730275849e+07       6.153939919786e+06       3.241918751047e-01       4.052873612538e+08       1.025656499925e+09       1.025656499925e+09       3.325095039234e+08      -3.525349972458e+08       1.904752431265e-04       8.371576458422e-02 
       1.207183933803e+05       5.123807829960e-08       3.801739338844e+00       3.197464652278e+04       1.559301261839e+04       1.291674202609e-01       1.882379024263e+09       2.191865399696e+00       5.843691083008e+08       4.381311601301e+06       2.351039115541e+07       6.134269038879e+06       3.241847070904e-01       4.039829401603e+08       1.022378020257e+09       1.022378020257e+09       3.314393190320e+08      -3.511211309825e+08       1.904880966877e-04       8.374215594684e-02 
       1.206211418055e+05       5.132035225299e-08       3.804783295725e+00       3.192350290644e+04       1.559300957443e+04       1.292715362290e-01       1.880862212062e+09       2.193617906661e+00       5.824883109602e+08       4.370731372015e+06       2.345361698556e+07       6.114661141351e+06       3.241775336142e-01       4.026827173581e+08       1.019110037817e+09       1.019110037817e+09       3.303725785405e+08      -3.497129381430e+08       1.905009551697e-04       8.376856857763e-02 
       1.205239685767e+05       5.140275801447e-08       3.807829673080e+00       3.187244137108e+04       1.559300652805e+04       1.293757361001e-01       1.879346621810e+09       2.195371803216e+00       5.806135669831e+08       4.360176692442e+06       2.339697991706e+07       6.095116025277e+06       3.241703546722e-01       4.013866793350e+08       1.015852518953e+09       1.015852518953e+09       3.293092713630e+08      -3.483103959519e+08       1.905138185768e-04       8.379500249104e-02 
       1.204268736306e+05       5.148529579449e-08       3.810878472805e+00       3.182146178474e+04       1.559300347925e+04       1.294800199419e-01       1.877832252521e+09       2.197127090446e+00       5.787448568867e+08       4.349647500883e+06       2.334047961883e+07       6.075633489379e+06       3.241631702606e-01       4.000948126221e+08       1.012605430118e+09       1.012605430118e+09       3.282493864495e+08      -3.469134817250e+08       1.905266869130e-04       8.382145770155e-02 
