# Matter power spectrum P(k) at redshift z=0
# for k=9.45519e-06 to 4.88563 h/Mpc,
# number of wavenumbers equal to 541
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.438513602784e-02       3.231914944340e+11 
       3.454276566238e-02       3.263735324091e+11 
       3.470111175360e-02       3.295524648251e+11 
       3.486019507086e-02       3.327296845437e+11 
       3.502003714567e-02       3.359048453528e+11 
       3.518066030763e-02       3.390771071768e+11 
       3.534208772270e-02       3.422473460143e+11 
       3.550434343365e-02       3.454146572329e+11 
       3.566745240300e-02       3.485807661745e+11 
       3.583144055866e-02       3.517415847607e+11 
       3.599633484233e-02       3.549009764416e+11 
       3.616216326100e-02       3.580580325292e+11 
       3.632895494180e-02       3.612108940758e+11 
       3.649674019024e-02       3.643606096351e+11 
       3.666555055248e-02       3.675087276415e+11 
       3.683541888153e-02       3.706524553787e+11 
       3.700637940806e-02       3.737952589525e+11 
       3.717846781590e-02       3.769333301877e+11 
       3.735172132290e-02       3.800689104902e+11 
       3.752617876730e-02       3.832003597304e+11 
       3.770188070034e-02       3.863303269239e+11 
       3.787886948544e-02       3.894558973831e+11 
       3.805718940471e-02       3.925811858350e+11 
       3.823688677323e-02       3.957023216428e+11 
       3.841801006198e-02       3.988217287366e+11 
       3.860061003010e-02       4.019372394787e+11 
       3.878473986735e-02       4.050531905294e+11 
       3.897045534773e-02       4.081661433619e+11 
       3.915781499539e-02       4.112776086766e+11 
       3.934688026386e-02       4.143851240000e+11 
       3.953771573002e-02       4.174960979237e+11 
       3.973038930423e-02       4.206011023279e+11 
       3.992497245829e-02       4.237058671648e+11 
       4.012154047297e-02       4.268115159919e+11 
       4.032017270720e-02       4.299172379153e+11 
       4.052095289126e-02       4.330217878641e+11 
       4.072396944641e-02       4.361271387351e+11 
       4.092931583400e-02       4.392336111745e+11 
       4.113709093727e-02       4.423421683756e+11 
       4.134739947949e-02       4.454519779818e+11 
       4.156035248274e-02       4.485620904235e+11 
       4.177606777200e-02       4.516787978371e+11 
       4.199467053001e-02       4.547967184579e+11 
       4.221629390909e-02       4.579169013508e+11 
       4.244107970686e-02       4.610431916321e+11 
       4.266917911417e-02       4.641750537742e+11 
       4.290075354430e-02       4.673112013358e+11 
       4.313597555424e-02       4.704540256549e+11 
       4.337502987039e-02       4.736050831062e+11 
       4.361811453300e-02       4.767635254933e+11 
       4.386544217575e-02       4.799299739788e+11 
       4.411724146012e-02       4.831073242456e+11 
       4.437375868673e-02       4.862950218422e+11 
       4.463525961030e-02       4.894928369505e+11 
       4.490203148917e-02       4.927054397364e+11 
       4.517438540595e-02       4.959313964114e+11 
       4.545265890250e-02       4.991721586971e+11 
       4.573721898073e-02       5.024291366915e+11 
       4.602846553015e-02       5.057022047848e+11 
       4.632683525552e-02       5.089939465174e+11 
       4.663280619220e-02       5.123070317805e+11 
       4.694690291497e-02       5.156428407692e+11 
       4.726970256846e-02       5.189985519215e+11 
