# logA n_s H0 omega_b omega_cdm tau_reio
2.43416778e+00 1.01168253e+00 6.31666414e+01 1.56914290e-02 1.08541298e-01 3.18195163e-01
2.48044654e+00 1.03239035e+00 5.58706204e+01 8.08983954e-03 8.71517534e-02 2.17422422e-01
3.43844248e+00 8.09867917e-01 7.59230657e+01 3.15092783e-02 1.44488770e-01 4.31462196e-01
3.43806922e+00 9.23547042e-01 7.45011780e+01 2.93933110e-02 1.34439848e-01 6.85960998e-01
3.59658468e+00 1.11246141e+00 6.41971595e+01 1.75013010e-02 1.04997944e-01 5.47302383e-01
3.16160127e+00 8.94768465e-01 7.56931428e+01 3.02057986e-02 1.37292308e-01 6.59784088e-01
3.56842089e+00 1.07319256e+00 6.50439084e+01 1.72128300e-02 1.04902785e-01 3.64043722e-02
1.70065624e+00 9.54372910e-01 6.56391060e+01 1.96328062e-02 1.03728947e-01 6.02708257e-01
3.69492096e+00 1.05281090e+00 7.06438500e+01 2.40903594e-02 1.23318587e-01 2.65617544e-01
1.68089873e+00 9.39646695e-01 7.57844890e+01 3.14879554e-02 1.45584627e-01 2.69467818e-01
3.90035570e+00 1.07720059e+00 6.80115641e+01 2.18593573e-02 1.08080636e-01 4.90716411e-01
2.97471954e+00 8.93253573e-01 7.38263335e+01 2.91892840e-02 1.32137371e-01 7.72650187e-01
2.07868129e+00 9.73684617e-01 7.62921332e+01 3.23200161e-02 1.44093117e-01 2.96511167e-01
3.49120752e+00 1.14969632e+00 7.34768378e+01 2.91187530e-02 1.36966986e-01 6.81961663e-01
1.79037440e+00 8.45486838e-01 7.34012323e+01 2.84866971e-02 1.31749942e-01 5.77577549e-01
3.90971718e+00 1.09751562e+00 7.54196474e+01 3.10036450e-02 1.34320344e-01 5.31054659e-01
2.34869275e+00 8.20622601e-01 6.31843967e+01 1.55498122e-02 9.80723390e-02 3.40365792e-01
3.43893529e+00 9.28083338e-01 7.55592517e+01 3.15697540e-02 1.33549918e-01 1.29416142e-01
3.68253967e+00 1.14660032e+00 7.00602644e+01 2.56779411e-02 1.17728608e-01 5.67039968e-01
3.75459332e+00 1.04564040e+00 7.56830506e+01 3.07776307e-02 1.40621933e-01 5.74625185e-01
1.86972476e+00 1.09672389e+00 6.42820592e+01 1.74301770e-02 1.06062377e-01 4.56074032e-01
1.67089943e+00 1.04439399e+00 7.67719280e+01 3.23613619e-02 1.48238839e-01 4.82218600e-01
3.76502804e+00 1.03317414e+00 7.50487819e+01 3.06853165e-02 1.36834534e-01 4.15499829e-01
1.83654096e+00 1.10237211e+00 5.89578260e+01 1.14526859e-02 9.14179637e-02 9.15807166e-02
3.13968784e+00 1.18119549e+00 7.44132675e+01 2.96918048e-02 1.41268630e-01 1.81278288e-01
2.74289737e+00 8.80537813e-01 7.40352055e+01 3.10535661e-02 1.21474443e-01 7.31713405e-01
2.57712435e+00 8.85606570e-01 6.73520168e+01 2.07640911e-02 1.13235228e-01 3.73887155e-01
1.78113943e+00 8.04778133e-01 7.39524899e+01 3.00683188e-02 1.33413355e-01 3.56278284e-01
2.54037167e+00 1.11059150e+00 6.36933669e+01 1.63064945e-02 1.04946856e-01 9.06936194e-02
1.78992098e+00 1.16959381e+00 6.77198226e+01 2.14431112e-02 1.16066143e-01 5.87101693e-01
2.68953208e+00 1.11606928e+00 5.82163977e+01 1.02932345e-02 8.96715842e-02 1.77889888e-01
2.16323035e+00 9.72851287e-01 7.56010636e+01 3.15412065e-02 1.27313993e-01 4.62893581e-01
1.92358715e+00 1.05165876e+00 6.51715329e+01 1.80751278e-02 1.18245116e-01 2.45547857e-01
3.16267762e+00 8.59692117e-01 6.73045894e+01 2.08344216e-02 1.19903978e-01 5.44795057e-01
2.65971557e+00 1.03917392e+00 7.31838071e+01 2.84574992e-02 1.32347939e-01 6.94826707e-01
2.14963368e+00 8.90394219e-01 6.38167920e+01 1.69908162e-02 1.14262915e-01 4.37564721e-01
1.71465020e+00 8.48155259e-01 6.88623243e+01 2.23614597e-02 1.14448747e-01 5.00392376e-01
2.07371582e+00 9.80338270e-01 7.35642605e+01 2.94409024e-02 1.29737653e-01 1.80786520e-01
3.29291936e+00 1.16665226e+00 5.73891001e+01 9.15297612e-03 9.43081452e-02 1.43915901e-01
3.69556922e+00 1.09964220e+00 7.44891143e+01 2.99946856e-02 1.33855274e-01 5.88237976e-01
2.14963179e+00 1.07729313e+00 6.45226960e+01 1.71825658e-02 1.06608758e-01 2.87313087e-01
2.07868129e+00 9.73684617e-01 7.62921332e+01 3.23200161e-02 1.44093117e-01 2.96511167e-01
2.16304442e+00 9.31290928e-01 7.10756642e+01 2.51563372e-02 1.32357096e-01 1.80397892e-01
2.62186938e+00 8.55971770e-01 7.40002449e+01 2.88629996e-02 1.34978700e-01 1.17902126e-01
1.62037071e+00 1.12819006e+00 7.61833366e+01 3.21421654e-02 1.39805809e-01 5.63834501e-01
3.08301127e+00 1.11009558e+00 7.53936693e+01 3.08375553e-02 1.32668409e-01 1.24683653e-01
2.83734443e+00 1.12166965e+00 7.07108668e+01 2.55821055e-02 1.19334942e-01 5.39696645e-01
2.93612956e+00 8.75190253e-01 6.42280016e+01 1.71908184e-02 1.07259611e-01 1.97150867e-01
3.57751107e+00 1.13002545e+00 7.08989708e+01 2.48734173e-02 1.30981402e-01 5.19644438e-02
2.72719892e+00 1.05894266e+00 6.55603611e+01 1.89173527e-02 1.08421329e-01 3.82660858e-01
2.01346711e+00 1.19077155e+00 7.45066653e+01 3.05661511e-02 1.26290702e-01 4.26458962e-01
3.67716695e+00 8.00838134e-01 6.72915655e+01 2.08325920e-02 1.13790885e-01 2.20437322e-01
2.26710645e+00 1.15654922e+00 7.05695018e+01 2.48970640e-02 1.19618777e-01 1.07500153e-02
2.53502791e+00 9.71059090e-01 7.53853531e+01 3.14013389e-02 1.40424493e-01 5.55132780e-01
3.51288319e+00 1.11402614e+00 7.47641038e+01 2.99291268e-02 1.37971040e-01 4.61046581e-01
3.47590528e+00 1.13333844e+00 6.82671967e+01 2.23585674e-02 1.07307536e-01 3.31841748e-01
2.54427914e+00 1.11259545e+00 6.70220970e+01 2.03199088e-02 1.19100682e-01 3.62247004e-01
3.75459332e+00 1.04564040e+00 7.56830506e+01 3.07776307e-02 1.40621933e-01 5.74625185e-01
2.76203803e+00 8.36516320e-01 7.40518903e+01 2.99694996e-02 1.32041621e-01 2.09736131e-01
3.54141598e+00 9.31846408e-01 7.37605192e+01 2.84953904e-02 1.34050441e-01 6.31427228e-01
1.80022652e+00 9.08423502e-01 7.55315967e+01 3.14439469e-02 1.31641678e-01 4.16220730e-01
2.50372436e+00 8.76908771e-01 7.38680610e+01 2.86650701e-02 1.35483939e-01 2.95839230e-01
2.05615795e+00 9.32980065e-01 6.56475335e+01 1.81763660e-02 1.07830097e-01 5.50028218e-01
2.17457624e+00 8.96311178e-01 7.61764717e+01 3.14638866e-02 1.34126926e-01 1.98385032e-01
2.23294833e+00 8.13746473e-01 7.58682417e+01 3.11064038e-02 1.51671776e-01 4.85026060e-01
1.64721532e+00 1.08743690e+00 7.42024902e+01 2.93135577e-02 1.38940675e-01 5.08619423e-01
2.85182454e+00 1.18264984e+00 5.91254921e+01 1.12075431e-02 9.31979806e-02 3.15277446e-01
2.31788748e+00 9.21560580e-01 6.42949772e+01 1.67501863e-02 1.00811620e-01 3.90948020e-01
1.93967167e+00 1.15034033e+00 7.41563998e+01 2.86327374e-02 1.42294043e-01 5.82190591e-01
3.26366537e+00 8.95138658e-01 6.85086781e+01 2.26104190e-02 1.14158860e-01 1.81724282e-01
2.07277049e+00 1.00808739e+00 7.44046695e+01 2.94349125e-02 1.35561441e-01 5.61690172e-01
3.89154564e+00 1.18234328e+00 7.33496015e+01 2.91273228e-02 1.23078293e-01 5.63599846e-01
1.80419332e+00 1.16544224e+00 6.64800494e+01 1.97824377e-02 1.15359842e-01 6.28982538e-01
3.47379207e+00 1.16758290e+00 7.68233236e+01 3.23049506e-02 1.52930132e-01 7.01452448e-01
2.75088891e+00 9.47128561e-01 7.66148260e+01 3.20083821e-02 1.52692419e-01 4.42758402e-01
3.36727528e+00 1.07828106e+00 7.55029130e+01 3.17194996e-02 1.36211370e-01 5.92932839e-01
3.58843327e+00 8.81574302e-01 6.86154626e+01 2.30884448e-02 1.15271940e-01 4.12206514e-01
1.88124693e+00 1.17410919e+00 7.47086208e+01 2.98019867e-02 1.39385888e-01 3.24171521e-01
3.46940872e+00 9.97462338e-01 7.59257567e+01 3.02269716e-02 1.49913178e-01 3.67640429e-01
2.61416166e+00 9.53811254e-01 7.14336924e+01 2.65834443e-02 1.26132841e-01 4.29842423e-01
3.76401669e+00 8.08064344e-01 7.49903881e+01 3.07489713e-02 1.35074771e-01 5.48096893e-01
3.31766550e+00 8.84808991e-01 7.08920785e+01 2.45562816e-02 1.30532213e-01 3.18026632e-01
3.68719296e+00 1.16588446e+00 7.61200182e+01 3.14434557e-02 1.42273517e-01 7.59879330e-01
2.88810991e+00 8.71366404e-01 6.73804966e+01 2.03187791e-02 1.15239316e-01 6.02497896e-01
2.74384700e+00 9.90155451e-01 5.96889886e+01 1.16174427e-02 9.50934937e-02 1.63947351e-01
2.30255900e+00 9.04455615e-01 7.30951468e+01 2.72124786e-02 1.35586999e-01 5.94618405e-01
2.20047286e+00 8.49096943e-01 7.36555852e+01 2.99366351e-02 1.22535097e-01 5.34169682e-01
3.82602082e+00 1.00163221e+00 7.02747044e+01 2.50048991e-02 1.21998281e-01 4.76189449e-01
2.16669189e+00 1.11690506e+00 6.51607491e+01 1.83674206e-02 1.07836991e-01 4.50313188e-01
3.71628519e+00 8.55375444e-01 6.27970391e+01 1.51833628e-02 1.02483120e-01 2.32653382e-02
3.61950721e+00 9.79524024e-01 7.51396322e+01 3.09315025e-02 1.45766888e-01 4.06608340e-02
