# logA n_s H0 omega_b omega_cdm tau_reio weight loglikelihood
3.01995831e+00 9.85880023e-01 4.20126177e+01 1.34394826e-02 4.85100699e-01 3.74855569e-01 0.00000000e+00 -1.00000000e+300
3.81440888e+00 9.11008631e-01 7.46252795e+01 9.70299954e-02 6.16567055e-02 7.98975426e-01 0.00000000e+00 -1.00000000e+300
2.73583446e+00 1.19963024e+00 3.55237240e+01 3.11210481e-02 9.55624258e-01 7.27097133e-01 0.00000000e+00 -1.00000000e+300
2.85404678e+00 9.65459480e-01 7.47678357e+01 6.96413426e-02 8.77525172e-01 3.32051398e-01 0.00000000e+00 -1.00000000e+300
2.69790423e+00 9.19564874e-01 5.77574241e+01 6.16685161e-02 6.35800864e-01 2.20333780e-01 0.00000000e+00 -1.00000000e+300
2.82340945e+00 9.48883510e-01 2.09242542e+01 6.30829499e-02 7.18473156e-01 2.92257526e-01 0.00000000e+00 -1.00000000e+300
2.56940235e+00 1.17124129e+00 7.72544370e+01 8.58901405e-02 5.65680319e-01 6.30710105e-01 0.00000000e+00 -1.00000000e+300
2.38134865e+00 9.39197161e-01 7.14088625e+01 8.88371781e-02 5.88208302e-01 6.16231915e-01 0.00000000e+00 -1.00000000e+300
1.64446802e+00 9.68914870e-01 4.85541312e+01 9.59077762e-02 4.95507877e-01 2.19694148e-01 0.00000000e+00 -1.00000000e+300
2.86663586e+00 1.02814909e+00 3.18600458e+01 2.44489317e-02 5.14643136e-01 6.29893234e-01 0.00000000e+00 -1.00000000e+300
1.80838837e+00 1.17209481e+00 8.61359510e+01 1.72565971e-02 8.96277909e-01 3.48057482e-01 0.00000000e+00 -1.00000000e+300
1.62073000e+00 1.16448795e+00 7.54347240e+01 5.16735590e-02 4.63230789e-01 4.57740672e-01 0.00000000e+00 -1.00000000e+300
2.63075115e+00 8.64818797e-01 5.83620721e+01 2.62554990e-02 6.91596075e-01 2.22894431e-01 0.00000000e+00 -1.00000000e+300
3.60662742e+00 9.41165855e-01 3.42441224e+01 5.52173077e-02 1.32345521e-01 7.61499141e-01 0.00000000e+00 -1.00000000e+300
2.90016635e+00 9.21869977e-01 4.74081541e+01 1.07309220e-02 6.53541453e-01 4.83995918e-01 0.00000000e+00 -1.00000000e+300
3.37585019e+00 8.10021328e-01 2.92652550e+01 5.17251953e-02 1.36901749e-02 1.87850474e-02 0.00000000e+00 -1.00000000e+300
3.88777341e+00 1.05525632e+00 4.23178430e+01 7.07496287e-02 2.43347646e-02 2.22633513e-01 0.00000000e+00 -1.00000000e+300
3.30583415e+00 9.75996594e-01 4.79221231e+01 4.51246606e-02 8.07222647e-01 3.21337350e-01 0.00000000e+00 -1.00000000e+300
2.94047914e+00 1.16249867e+00 3.25168944e+01 5.79957376e-02 9.76934021e-01 7.51469886e-01 0.00000000e+00 -1.00000000e+300
