logA n_s H0 omega_b omega_cdm m_ncdm w0_fld wa_fld tau_reio
3.000198126738760962e+00 9.976006279128243337e-01 6.997655798049331111e+01 2.245823238201350922e-02 1.236776705693304057e-01 6.105086251567060085e-02 -6.669670880334956919e-01 -3.436050603526470404e-01 6.376886512237506244e-02
2.908345510260689881e+00 9.547151526915654829e-01 7.313014241745949562e+01 2.238589657924946325e-02 1.252353192992704256e-01 6.642587938193718344e-02 -9.269569775742061424e-01 2.434413140776148232e-01 5.548146999429961340e-02
3.170757038496068159e+00 9.730377900594633367e-01 7.227058688915219875e+01 2.243438331740765790e-02 1.258452383494604032e-01 3.622334146081181844e-02 -8.689646599705036500e-01 1.145829657362642529e-01 4.466234454042874308e-02
2.991536080961822996e+00 9.488339476267014794e-01 7.403926053115520745e+01 2.216610387756720243e-02 1.222239400419230099e-01 9.696662607038263049e-02 -1.048423868051586938e+00 6.034225213008528321e-01 6.780302044298990027e-02
2.828753197011723675e+00 9.458065824996723103e-01 7.520523484333617148e+01 2.221105014757894167e-02 1.104909221463645091e-01 4.080022791870197008e-02 -1.170539263718878509e+00 1.100868008620687011e+00 6.169170594492633108e-02
2.851046442515527524e+00 9.520250882300421713e-01 7.521779335016566392e+01 2.226058670379024718e-02 1.266067091075896156e-01 8.961838712745728852e-02 -1.041475795051526099e+00 5.845140555730838905e-01 4.688746545467763899e-02
3.078433094940997705e+00 9.796746675947473060e-01 7.324163011329576989e+01 2.243914893376140404e-02 1.179240510975562706e-01 1.467220544056908708e-02 -9.709894058776358250e-01 4.955368572395757454e-01 5.517692423025802317e-02
3.033939109857274996e+00 9.396223275780574147e-01 7.065253682408493319e+01 2.231324068527032814e-02 1.107044040780443966e-01 5.809090979968185853e-02 -9.186330531098616525e-01 4.683308621748754064e-01 4.847563096565468688e-02
2.963362537515461970e+00 9.166017590028591178e-01 7.485719130551453304e+01 2.213158311240192092e-02 1.210018454472582827e-01 7.995939067565205685e-03 -1.097287516080586167e+00 6.677309003551150646e-01 1.969147802988486379e-02
3.043813881086784523e+00 9.901174262586289743e-01 7.606036993442342009e+01 2.246154680339049192e-02 1.232372292186299650e-01 6.603086576454980650e-02 -1.159165236990599812e+00 8.812104086959604565e-01 5.530817302821815912e-02
3.047785692223987208e+00 9.851591354321797001e-01 7.279133394848248884e+01 2.221238839324223349e-02 1.269119159489238702e-01 5.277741987297730752e-02 -9.025655893130273277e-01 1.823352816380978680e-01 6.357362671655952813e-02
3.108475059965921439e+00 9.367674604843815311e-01 7.268058080956302547e+01 2.225433100441306933e-02 1.261599037656558897e-01 9.801454125811570606e-02 -9.154830534181177537e-01 2.584286389380294757e-01 4.961402686209314544e-02
2.959868464240007935e+00 9.416299592790569051e-01 7.497483422616893733e+01 2.200597725846564767e-02 1.159720351275215916e-01 8.563561758329597817e-02 -1.199648551378757588e+00 1.097922244483624521e+00 3.416520454603445139e-02
3.197481242410135760e+00 9.191618384911248718e-01 7.701239827067003318e+01 2.201487716034745273e-02 1.206707276591689609e-01 9.755667046282473498e-02 -1.276906234795875505e+00 1.113299586320253276e+00 1.270364353214693126e-02
2.929870051710290912e+00 9.459176264633006870e-01 7.588417618648935559e+01 2.245527343330625675e-02 1.281910033414492001e-01 7.736213913682478405e-02 -1.149567874517937849e+00 8.728304231145260772e-01 3.360220095808138380e-02
3.171966870518417636e+00 9.932088745940225172e-01 7.117072913309712590e+01 2.225789761500564234e-02 1.146268924953298129e-01 4.210197524859804648e-03 -9.177901917332726978e-01 5.128686136655415950e-01 1.423830522453649154e-02
2.852518120512976374e+00 9.719680135493433681e-01 7.370767937580340856e+01 2.211334101246991563e-02 1.232017256030143726e-01 6.298050831874860145e-02 -1.035746708175737218e+00 6.421275599247633359e-01 5.233708781709862229e-02
2.910310177767012618e+00 9.941571995730694722e-01 7.561981525157446526e+01 2.224474374576022526e-02 1.227532250756195875e-01 2.088349395919984058e-02 -1.139958395989008721e+00 8.516804259513834907e-01 3.450789730057420707e-02
2.897109046490155215e+00 9.880200838970877308e-01 7.557652718620710175e+01 2.205900928903535910e-02 1.278895396435357767e-01 5.197545493445426823e-02 -1.094977939655862542e+00 6.893358656132897444e-01 6.042442794527735223e-02
2.853169300131339181e+00 9.613540024588478339e-01 7.288759212409004817e+01 2.245037646987089672e-02 1.234826711748055750e-01 1.489581044278908209e-02 -9.063138005654580720e-01 2.754496087547675387e-01 5.749503898331361634e-02
2.828130728100925584e+00 9.373276103035075302e-01 7.429035304629984182e+01 2.222375195802373665e-02 1.220912582218883907e-01 4.695457793199368096e-02 -1.061541803355075420e+00 6.594985989632742296e-01 5.760303605047409348e-02
